n_clusters,umap_n_components,NMI,embedding
2,8,0.4647401688211061,BERT
5,2,0.6483356583868514,BERT
6,8,0.7155952351027647,BERT
2,16,0.4258144787964708,BERT
5,4,0.6723861329080945,BERT
2,8,0.4647401688211061,BERT
6,2,0.6863062317286813,BERT
6,8,0.7155952351027647,BERT
2,4,0.4474258496054316,BERT
2,8,0.4647401688211061,BERT
4,16,0.6660495259389848,BERT
6,8,0.7155952351027647,BERT
5,8,0.6690933199987724,BERT
6,8,0.7155952351027647,BERT
4,8,0.6721138521034713,BERT
5,8,0.6690933199987723,BERT
3,4,0.7065694356874873,BERT
6,16,0.7257536466971438,BERT
6,16,0.7257536466971438,BERT
5,16,0.6609348000821537,BERT
4,16,0.6660495259389849,BERT
6,16,0.725753646697144,BERT
6,16,0.7257536466971438,BERT
6,16,0.7257536466971438,BERT
5,16,0.6609348000821537,BERT
3,16,0.6809724898478023,BERT
6,16,0.725753646697144,BERT
5,16,0.6609348000821537,BERT
6,2,0.6857415220822974,BERT
3,16,0.6809724898478026,BERT
4,16,0.6660495259389849,BERT
6,16,0.7257536466971438,BERT
6,16,0.7257536466971438,BERT
6,16,0.7257536466971438,BERT
5,2,0.6483356583868515,BERT
6,16,0.7257536466971439,BERT
5,16,0.6609348000821537,BERT
6,4,0.7219602757731648,BERT
6,16,0.7257536466971438,BERT
5,2,0.6483356583868516,BERT
6,16,0.725753646697144,BERT
6,16,0.7257536466971438,BERT
6,16,0.7257536466971439,BERT
6,16,0.7257536466971438,BERT
6,16,0.7257536466971438,BERT
5,4,0.6723861329080945,BERT
6,16,0.7257536466971438,BERT
6,16,0.7257536466971438,BERT
5,2,0.6483356583868515,BERT
6,16,0.7257536466971438,BERT
6,4,0.7219602757731647,BERT
6,16,0.725753646697144,BERT
6,16,0.7257536466971438,BERT
6,16,0.725753646697144,BERT
6,16,0.7257536466971438,BERT
6,16,0.725753646697144,BERT
5,16,0.6609348000821538,BERT
6,16,0.725753646697144,BERT
6,8,0.7155952351027647,BERT
5,16,0.6609348000821537,BERT
6,16,0.7257536466971438,BERT
6,16,0.7257536466971438,BERT
6,16,0.7257536466971438,BERT
6,16,0.7257536466971438,BERT
6,16,0.7257536466971438,BERT
6,16,0.7257536466971438,BERT
6,8,0.7155952351027647,BERT
2,16,0.4258144787964708,BERT
5,4,0.6723861329080945,BERT
6,16,0.7257536466971438,BERT
4,2,0.6390210824133937,BERT
