bandwidth,umap_n_components,NMI,embedding
0.49517886090258756,8,0.44953113720604637,BERT
0.4406487237543392,2,0.4438550653110481,BERT
0.5635237406501626,8,0.46630784532842057,BERT
0.6293024179480445,4,0.4812031472384894,BERT
0.7955167990131213,8,0.5174390161754877,BERT
0.33833800959990373,2,0.422159850449869,BERT
0.20140032484532086,2,0.39773864716239943,BERT
0.04674653299958939,16,0.3377183698090181,BERT
0.10395997680357066,16,0.3599500383668202,BERT
0.5771137915811969,8,0.47240187736732897,BERT
0.8545596854223465,4,0.5310271786244389,BERT
0.8782629203185297,4,0.5332933570957616,BERT
0.8824669700357974,4,0.5333286876479194,BERT
0.9085643254599196,4,0.5687373682233259,BERT
0.7388908189226593,4,0.5081404724148444,BERT
0.895524825199697,4,0.5622632353409851,BERT
0.7083563159134573,4,0.4936993232430972,BERT
0.7336342823123269,4,0.5081404724148444,BERT
0.8835073043781458,4,0.5454848730710857,BERT
0.7905398540651746,16,0.5190144189623539,BERT
0.6561117768810436,4,0.4828943482902779,BERT
0.9011800064348818,4,0.5686786835820081,BERT
0.9083404044655425,4,0.5687373682233259,BERT
0.7980757769731452,4,0.5163983468641936,BERT
0.8029717736516518,4,0.5176266431794382,BERT
0.8966601120067176,4,0.5622632353409851,BERT
0.6860081412035198,4,0.49277261995462285,BERT
0.8206251930232404,16,0.5331246058465394,BERT
0.9097671538363107,2,0.5633664100176141,BERT
0.7297475980825422,8,0.4972374965316736,BERT
0.759506567492459,4,0.5167650281254506,BERT
0.8310341577467976,2,0.5427749689469652,BERT
0.9019354892002007,2,0.5599013567146542,BERT
0.8463519222194117,2,0.5602978873842211,BERT
0.907137570361962,2,0.5636172209705017,BERT
0.8341189338747583,2,0.5430094391598349,BERT
0.7687125683824902,8,0.509319960446705,BERT
0.6319715690089924,2,0.48127056170379734,BERT
0.5011731996659134,4,0.4589492099486026,BERT
0.846489385657889,2,0.5602978873842211,BERT
0.6858224163826271,16,0.4901443608575032,BERT
0.7755543434278361,2,0.5213417782737626,BERT
0.8541049191449996,2,0.5602560927301559,BERT
0.8103303897145717,2,0.5419572782979997,BERT
0.9014164422285028,2,0.5599013567146542,BERT
0.8654399251952031,8,0.5355480526493068,BERT
0.8993175802200788,4,0.5619432261519992,BERT
