min_cluster_size,rho,beta,umap_n_components,NMI,embedding
184,1.6969384474621718,0.21588180082080316,16,0.6322309434218272,BERT
136,1.247082158364678,0.21115209161912113,16,0.5764793480213747,BERT
156,1.5039728404280654,0.22618415491996038,16,0.5925905012281029,BERT
122,1.6419004628973823,0.26058728946523174,16,0.5520018177652175,BERT
175,0.9805804688971047,0.2801819638970182,16,0.6277165495904531,BERT
188,1.7701096523339055,0.17274337777013102,8,0.6062577295144818,BERT
184,1.9006480679156275,0.12439446972189261,2,0.6021677170735308,BERT
195,1.6842839975630832,0.1466771969447025,16,0.6226491338823303,BERT
170,1.9259330486258963,0.18863348184289136,2,0.5621568388511152,BERT
44,1.8084906835538008,0.12094285598291564,4,0.4489253902621904,BERT
188,1.4570436771283855,0.14342136595262248,8,0.6272926040557901,BERT
162,1.6163451355862921,0.11962558170267802,2,0.5981291178490218,BERT
148,1.7103668155516294,0.17128293973392006,2,0.5744832639245092,BERT
176,1.9421587166803276,0.20320206370530033,16,0.5918463688044107,BERT
184,1.8341403609966487,0.1529848682265808,2,0.6022826553612062,BERT
179,1.654460865257486,0.11986565265149764,2,0.6275935062614553,BERT
195,1.5458506670072143,0.14534346471014006,2,0.6053409671876486,BERT
168,1.7013189759367717,0.11779672982269448,2,0.581349291271366,BERT
187,1.7734430173802265,0.13546747767305087,2,0.5729342655372632,BERT
140,1.9866175635769374,0.10148499064259761,2,0.5447835347527777,BERT
178,1.8855452289021002,0.16386182859203374,2,0.6018530827244242,BERT
157,1.6007529045285553,0.18432007705943085,2,0.5980232653573578,BERT
96,1.7878495059026276,0.22558264006300133,4,0.49845596828557626,BERT
189,1.4434521963081373,0.15455649168893967,8,0.6272926040557901,BERT
169,1.7403611763310245,0.11272376575079712,2,0.5814181061807214,BERT
176,0.8724178191375864,0.3059069655469861,16,0.6070753620569241,BERT
174,1.0781436339212773,0.13430671169743258,16,0.6337068505224647,BERT
182,1.6580982710121817,0.13260179350006582,16,0.6322309434218272,BERT
189,1.3528537644116556,0.10122174029937497,16,0.6233628899456377,BERT
173,1.5452345022239342,0.16345088139693328,16,0.6369009061814046,BERT
165,1.485591325890847,0.17093510259666506,16,0.6329818103754403,BERT
165,1.5133034454938974,0.17350006382519068,16,0.6115652177900666,BERT
