n_clusters,umap_n_components,NMI,embedding
8,4,0.4836221768891455,BERT
8,4,0.4839388119266068,BERT
8,4,0.6085503964131108,BERT
8,16,0.0660042549882039,BERT
8,4,0.5687606129102635,BERT
8,4,0.6667844768959338,BERT
8,4,0.6630668761225293,BERT
8,4,0.4836221768891455,BERT
7,4,0.14685057764689796,BERT
8,4,0.6446035644069632,BERT
8,4,0.43173126086929287,BERT
8,4,0.5527715665709787,BERT
8,4,0.48393881192660687,BERT
8,4,0.5550619178511467,BERT
8,4,0.6609982656829182,BERT
5,4,0.056262039226713294,BERT
8,4,0.1535417666896081,BERT
8,4,0.635319200390594,BERT
8,4,0.4844039885977435,BERT
8,2,0.14609467936386558,BERT
8,4,0.5734975492854332,BERT
8,4,0.43649007517626476,BERT
8,4,0.4844039885977435,BERT
8,4,0.1535417666896081,BERT
8,8,0.6085453307508781,BERT
8,4,0.5653999698640214,BERT
8,4,0.6362319668339863,BERT
8,4,0.41688952215007186,BERT
8,4,0.6667844768959338,BERT
7,4,0.30659584250847993,BERT
8,4,0.1535417666896081,BERT
8,4,0.4842981991161092,BERT
8,4,0.3894272215642245,BERT
8,4,0.43173126086929287,BERT
2,4,0.027939047071456426,BERT
8,4,0.6260568123100677,BERT
8,4,0.533934154772567,BERT
8,4,0.6478661770632841,BERT
8,4,0.3106416647470682,BERT
8,4,0.43173126086929287,BERT
8,4,0.6127549521151417,BERT
8,4,0.6455601857612714,BERT
8,4,0.4844039885977435,BERT
8,4,0.35959622599852925,BERT
8,4,0.6121745241989769,BERT
8,4,0.15354176668960812,BERT
8,2,0.39685809843053343,BERT
8,4,0.43173126086929287,BERT
8,8,0.41976409617103205,BERT
8,4,0.6244148356766316,BERT
8,4,0.6210455857658994,BERT
8,4,0.6184356954514546,BERT
8,4,0.6316830207395289,BERT
8,4,0.6942770274203642,BERT
8,4,0.6174428612878048,BERT
8,4,0.1535417666896081,BERT
8,4,0.6478661770632841,BERT
8,4,0.6574377591350337,BERT
8,4,0.6091926002924913,BERT
8,4,0.5262763182085327,BERT
8,4,0.6630668761225295,BERT
8,4,0.612858076853422,BERT
8,4,0.31064166474706817,BERT
8,4,0.4026471836365042,BERT
8,4,0.6561984002293774,BERT
8,4,0.48393881192660687,BERT
8,4,0.6530262781363141,BERT
8,4,0.6206814055168389,BERT
8,4,0.46027136166080573,BERT
8,4,0.5107487786250605,BERT
8,4,0.43173126086929287,BERT
8,4,0.42652180562208153,BERT
8,4,0.46027136166080584,BERT
8,4,0.4793617771509523,BERT
6,4,0.055946388969587084,BERT
8,4,0.5612537258911731,BERT
8,4,0.42911598115402516,BERT
8,4,0.4738837095051444,BERT
8,2,0.3968580984305335,BERT
8,4,0.6241085699029926,BERT
8,4,0.39195466890845343,BERT
8,4,0.6362319668339862,BERT
8,4,0.4844039885977435,BERT
8,4,0.4131491420770941,BERT
8,8,0.5829693698682329,BERT
8,4,0.3732046839843201,BERT
8,4,0.1535417666896081,BERT
8,4,0.62315020730164,BERT
8,4,0.46027136166080584,BERT
8,2,0.7419222691205792,word2vec
2,2,0.009975319643096663,word2vec
