min_cluster_size,min_samples,umap_n_components,NMI,embedding
22,14,2,0.28015188929083346,BERT
20,14,2,0.28015188929083346,BERT
30,20,2,0.022735816731402313,BERT
24,10,2,0.28049906356263643,BERT
36,10,2,0.0201569933433787,BERT
50,10,2,0.0201569933433787,BERT
24,30,2,0.022735816731402323,BERT
42,22,2,0.0201569933433787,BERT
31,37,2,0.0201569933433787,BERT
37,142,2,0.017394800731766465,BERT
22,15,2,0.2980081284874577,BERT
19,17,2,0.022735816731402313,BERT
23,8,2,0.29019219674663727,BERT
100,14,2,0.01818098208608857,BERT
16,27,2,0.022735816731402323,BERT
29,8,2,0.29045498060559444,BERT
29,7,2,0.29034052413995504,BERT
29,21,2,0.022735816731402313,BERT
32,5,2,0.022735816731402323,BERT
16,15,2,0.022735816731402313,BERT
22,7,2,0.29034052413995504,BERT
23,9,2,0.2861132423701725,BERT
19,7,2,0.2957055593916718,BERT
20,8,2,0.2911231277863513,BERT
9,7,2,0.2731478306344921,BERT
19,5,8,0.033401118827383655,BERT
38,19,16,0.019597729260998856,BERT
15,17,2,0.022735816731402313,BERT
21,22,2,0.022735816731402323,BERT
33,5,2,0.0201569933433787,BERT
23,9,2,0.2861132423701725,BERT
28,13,2,0.28156511283975694,BERT
18,8,2,0.2911231277863513,BERT
13,17,2,0.022735816731402313,BERT
18,8,2,0.2911231277863513,BERT
8,13,2,0.28063826638430533,BERT
18,27,2,0.022735816731402323,BERT
13,5,2,0.28283815445715016,BERT
19,23,2,0.022735816731402323,BERT
8,12,2,0.274970968351762,BERT
31,9,2,0.022735816731402323,BERT
28,8,2,0.29045498060559444,BERT
22,16,2,0.26656777764555145,BERT
29,8,2,0.29045498060559444,BERT
180,5,2,0.014491227397182395,BERT
35,19,16,0.019597729260998856,BERT
29,13,2,0.28156511283975694,BERT
15,7,8,0.042094158109703954,BERT
41,12,2,0.0201569933433787,BERT
18,79,2,0.014491227397182395,BERT
25,9,2,0.2861132423701725,BERT
28,17,2,0.022735816731402313,BERT
22,8,2,0.29019219674663727,BERT
20,5,2,0.2884375100296449,BERT
11,14,2,0.28134312300527065,BERT
33,11,2,0.0201569933433787,BERT
23,18,2,0.022735816731402313,BERT
16,22,2,0.022735816731402323,BERT
36,8,2,0.0201569933433787,BERT
173,13,2,0.014491227397182395,BERT
29,5,2,0.2996882914136306,BERT
30,5,2,0.022735816731402323,BERT
22,9,2,0.28235839213685016,BERT
28,14,2,0.26992685039711384,BERT
114,10,2,0.01818098208608857,BERT
19,8,2,0.2911231277863513,BERT
17,17,2,0.269187501256138,BERT
25,5,2,0.28932347208492226,BERT
5,20,8,0.0306461838667576,BERT
70,126,2,0.017394800731766465,BERT
21,9,2,0.28235839213685016,BERT
13,12,2,0.2828814712382759,BERT
32,8,2,0.022735816731402323,BERT
27,15,2,0.2984433440125826,BERT
155,15,16,0.013993720863484646,BERT
27,5,2,0.2989237991736511,BERT
37,5,2,0.0201569933433787,BERT
27,165,2,0.017394800731766465,BERT
30,12,2,0.022735816731402323,BERT
18,25,2,0.022735816731402323,BERT
26,11,2,0.2889597171071874,BERT
21,15,2,0.29143389872786285,BERT
18,18,2,0.022735816731402313,BERT
33,15,2,0.0201569933433787,BERT
14,5,2,0.2760512049430912,BERT
25,12,2,0.022735816731402323,BERT
10,98,2,0.016730139743517253,BERT
22,20,2,0.022735816731402313,BERT
29,15,2,0.2984433440125826,BERT
38,16,2,0.0201569933433787,BERT
29,9,2,0.2861132423701725,BERT
20,5,2,0.2884375100296449,BERT
26,14,2,0.26992685039711384,BERT
34,9,2,0.0201569933433787,BERT
30,11,2,0.022735816731402313,BERT
16,22,2,0.022735816731402323,BERT
21,16,2,0.2714333464107594,BERT
26,5,2,0.29189536617070133,BERT
42,12,2,0.0201569933433787,BERT
25,5,2,0.28932347208492226,BERT
29,8,2,0.29045498060559444,BERT
32,9,2,0.022735816731402323,BERT
126,15,2,0.01818098208608857,BERT
28,8,2,0.29045498060559444,BERT
27,11,2,0.2889597171071874,BERT
19,5,8,0.033401118827383655,BERT
35,20,16,0.019597729260998856,BERT
87,109,2,0.017159618994688264,BERT
24,9,2,0.2861132423701725,BERT
109,147,2,0.254110168884405,word2vec
147,194,2,0.24093618313262777,word2vec
54,127,2,0.2551332357367476,word2vec
141,157,2,0.2500290688351205,word2vec
77,192,4,0.2421239143107777,word2vec
45,164,2,0.24941166647437496,word2vec
65,83,2,0.4559972818494768,word2vec
10,120,8,0.24598615671621576,word2vec
69,139,8,0.2446301785370364,word2vec
13,24,8,0.2748946971144786,word2vec
191,66,16,0.2478055477110301,word2vec
10,6,8,0.4028426235638023,word2vec
35,10,16,0.44148084439496754,word2vec
98,68,16,0.24973650574766357,word2vec
39,76,16,0.24822499136320925,word2vec
93,40,4,0.26632340002149196,word2vec
34,92,16,0.24475748100317626,word2vec
67,39,16,0.25132319715223594,word2vec
126,103,4,0.25744163994702896,word2vec
28,9,16,0.4437241857234968,word2vec
86,50,2,0.2700544521769571,word2vec
32,10,16,0.44148084439496754,word2vec
56,23,16,0.2731927595968229,word2vec
28,24,16,0.27410942667448224,word2vec
55,53,16,0.25108279917552734,word2vec
21,89,16,0.2459996906171425,word2vec
50,37,2,0.27102365115162513,word2vec
73,14,4,0.2763343524388352,word2vec
23,108,16,0.23978904214779662,word2vec
112,55,2,0.2692000450522019,word2vec
5,77,2,0.2676167038340675,word2vec
36,7,16,0.4197371834803957,word2vec
26,19,16,0.27696314168134234,word2vec
62,36,16,0.25496011239675764,word2vec
43,29,16,0.2730382811122357,word2vec
83,8,2,0.48874175906915795,word2vec
81,47,2,0.27152785353843917,word2vec
106,6,2,0.48953577639064594,word2vec
111,164,2,0.24941166647437496,word2vec
123,185,2,0.2522177161633737,word2vec
155,130,2,0.2616365410436559,word2vec
93,5,2,0.4849171906968035,word2vec
101,5,2,0.4911156730706171,word2vec
89,19,2,0.47596182925962166,word2vec
105,29,2,0.26918700792195166,word2vec
123,17,2,0.4753269740140664,word2vec
91,30,2,0.2700036678699572,word2vec
146,5,2,0.4911156730706171,word2vec
160,5,2,0.4911156730706171,word2vec
162,14,2,0.2776015455039375,word2vec
137,44,8,0.2678803210285808,word2vec
175,7,2,0.2747125446851174,word2vec
173,7,2,0.2747125446851174,word2vec
142,26,2,0.2704392722238093,word2vec
98,5,2,0.4911156730706171,word2vec
102,19,2,0.47596182925962166,word2vec
195,32,2,0.27066280734284237,word2vec
133,15,8,0.4400852459407167,word2vec
149,13,4,0.2750801019862671,word2vec
116,5,2,0.4911156730706171,word2vec
115,24,2,0.27113399998001914,word2vec
79,5,2,0.4849171906968035,word2vec
96,21,2,0.45909973185735525,word2vec
117,13,2,0.27978568411685373,word2vec
107,5,2,0.4911156730706171,word2vec
106,36,2,0.46675604042414537,word2vec
130,61,2,0.265387272656867,word2vec
167,14,4,0.2763343524388352,word2vec
183,24,8,0.2748946971144786,word2vec
99,5,2,0.4911156730706171,word2vec
99,33,2,0.27206737117810087,word2vec
119,5,2,0.4911156730706171,word2vec
119,13,2,0.27978568411685373,word2vec
152,19,2,0.47596182925962166,word2vec
142,5,2,0.4911156730706171,word2vec
73,12,2,0.482527296252638,word2vec
111,147,2,0.254110168884405,word2vec
86,42,2,0.2715490694645046,word2vec
158,10,4,0.27670299538514664,word2vec
129,24,2,0.27113399998001914,word2vec
