min_cluster_size,rho,beta,umap_n_components,NMI,embedding
94,1.5785472568893226,0.1697546927028994,8,0.3091085266092478,BERT
57,1.374690504424727,0.20638247172918076,8,0.3220831719136562,BERT
82,1.8838535549761115,0.24064909450370234,8,0.30697498575143484,BERT
140,1.6777235683746585,0.4379080624546837,16,0.29625624704569514,BERT
117,1.586753369060522,0.16863161152003808,8,0.27696546261181554,BERT
74,1.4323856056508106,0.13040232217106182,8,0.30090699230569107,BERT
100,1.8559884205306507,0.11785377867187953,8,0.32145884120001655,BERT
102,1.8167466495604365,0.10078774133017075,16,0.31509819146030843,BERT
108,1.9161109070197129,0.11992038948823983,2,0.29624642854958677,BERT
91,1.9916776661445654,0.15212256766293947,8,0.3114585645910834,BERT
126,1.7375334703390803,0.12279641044206369,4,0.2728895848248684,BERT
172,1.796901128099887,0.10098095043805916,2,0.2846573536152076,BERT
75,1.9197300075705974,0.16699068121396737,4,0.304110833862968,BERT
113,1.7026372373802272,0.3011621627229415,16,0.28602891965593263,BERT
102,1.5030233636822672,0.13828664021512826,4,0.2985641869415009,BERT
88,1.9156077679252117,0.19018055960869268,8,0.3059012466023978,BERT
34,1.749101479401442,0.12075436047826102,8,0.30309565502740293,BERT
67,1.9979142231566318,0.1250381685936742,8,0.31021942176944506,BERT
121,1.7171632709603868,0.15318534718957275,8,0.28089469428043756,BERT
98,1.812647256661086,0.1045382939362579,4,0.3203309430183969,BERT
86,1.9068730329699282,0.13633484171562998,8,0.31868979788719104,BERT
109,1.562998818501145,0.17664167616865456,2,0.2596539995613423,BERT
72,1.6303677968349994,0.11343793935346849,4,0.3166193455468358,BERT
56,1.777690283707008,0.16066536065052872,8,0.3077459882105423,BERT
106,1.6936799961720483,0.1405375212351583,4,0.2839147028788553,BERT
139,1.8480537466313363,0.1996418101245675,8,0.2831131535515487,BERT
103,1.9388378652882414,0.11036748795906395,4,0.33040995145831464,BERT
95,1.9301592740262044,0.11196178476891461,4,0.3262997588119055,BERT
95,1.9421797230648465,0.11267705305107337,4,0.3275459784053611,BERT
80,1.950273607144728,0.15063380908224272,4,0.3088378051736337,BERT
112,1.8576734564221584,0.10079511246069767,4,0.3067663754090864,BERT
89,1.9553881984612937,0.14253580923534034,4,0.3188465950886893,BERT
126,1.7728653664661675,0.12038016335814991,4,0.28202392901210566,BERT
102,1.9842271627427248,0.17911066674110215,4,0.3284663236176149,BERT
120,1.9927905166064268,0.18355403949458987,4,0.3001137319617388,BERT
105,1.9039442172809802,0.1608140618653286,4,0.3247813491813958,BERT
97,1.82715439142382,0.1151223999244952,4,0.3145772839281748,BERT
84,1.8770508392580907,0.13929463090720856,4,0.3100073669620688,BERT
102,1.99865179271979,0.1300717477844788,4,0.3284663236176149,BERT
114,1.9999983223856765,0.13114251760288712,4,0.3103864859290813,BERT
92,1.931219755011913,0.17007489681633772,4,0.32412498548574337,BERT
132,1.7946871897283834,0.15368219728036633,16,0.29263080753921006,BERT
102,1.9462346577127647,0.11375548684741071,4,0.3281292361985914,BERT
105,1.861143030432279,0.18126945705093025,4,0.3161095052170875,BERT
80,1.940785322513126,0.1326497769475259,2,0.30083615124088703,BERT
93,1.6661889984394618,0.14581430647514954,4,0.3146973366721053,BERT
101,1.954215043509456,0.1129321567289803,4,0.31997315516987224,BERT
111,1.8864999987117255,0.10093181512073632,4,0.3030046658020858,BERT
97,1.8234730348641057,0.1247457586196179,4,0.3145772839281748,BERT
87,1.9983666894200582,0.16168014790571839,4,0.32082002978337654,BERT
118,1.7516589997650565,0.11386517436822724,4,0.28353424220653295,BERT
103,1.949276271061304,0.13123135008482756,16,0.326947858033039,BERT
109,1.8861802962713716,0.1120466480518202,8,0.30365942974692917,BERT
92,1.9524565840289745,0.14567225030659187,4,0.3225319591104028,BERT
78,1.834429729230235,0.12421323913713789,4,0.32373671436169577,BERT
99,1.7779564612327872,0.17597978992195906,8,0.31944345632740395,BERT
105,1.9546722020307075,0.13207060714830623,16,0.31623377143725295,BERT
102,1.9019147706142443,0.1362275874860433,16,0.32343526493833,BERT
84,1.914947607448608,0.10093044680081964,16,0.31983039120768436,BERT
122,1.8482956155323083,0.15379932694725285,16,0.28342292747319314,BERT
7,1.964337794300103,0.1254964243333964,16,0.308336906955616,BERT
117,1.7479218975372337,0.1126461078502793,2,0.30146840928466667,BERT
95,1.8028204547197657,0.1650619769144845,8,0.3223815659256792,BERT
110,1.9976387906834758,0.141162428074822,4,0.31145123694918625,BERT
89,1.8819737543304944,0.12107450726755481,8,0.3062183088674662,BERT
103,1.724115477048679,0.10952845315723245,4,0.29379442973553327,BERT
100,1.9284228389691562,0.13090441201475317,4,0.3189432006673362,BERT
113,1.8426208149514987,0.10854527672867165,4,0.30496401741233276,BERT
107,1.9624573190653156,0.147823311101125,4,0.3141707231029362,BERT
97,1.8791163818098597,0.12475029419490494,4,0.3207333718072431,BERT
91,1.9157609333660002,0.10068210093213309,8,0.3125253988518662,BERT
100,1.8196446349839983,0.15799699075618123,4,0.3225850249979257,BERT
115,1.6868190250040371,0.11773245453494138,16,0.2682067291808312,BERT
71,1.9673358827590102,0.19060537586099568,4,0.31284587713349504,BERT
83,1.7815920125654614,0.14142768063387834,8,0.31659386086908287,BERT
106,1.8623487121616351,0.13024644190361406,4,0.318065995604869,BERT
95,1.922202821958129,0.11118939722618502,4,0.3349480581664126,BERT
95,1.9246470426635698,0.10968807865301174,4,0.3262997588119055,BERT
87,1.9697019408146386,0.12030807681367998,4,0.32082002978337654,BERT
102,1.892940207099195,0.13578712019085762,4,0.31947815770448657,BERT
93,1.8102433046304702,0.10828552796480774,4,0.3214669414967707,BERT
109,1.9998940837961163,0.1438412142464546,2,0.31335129534056994,BERT
98,1.8603537604505254,0.10096616149499517,4,0.3214406924944794,BERT
90,1.929604328369172,0.11874574446070336,8,0.30793541781278927,BERT
105,1.7568669025468822,0.1561643212179189,4,0.3108982145990842,BERT
77,1.6092936400755071,0.1717276399260909,4,0.31836582871365465,BERT
99,1.929866584913698,0.11741695390031441,4,0.32155771703985053,BERT
95,1.8933933832728669,0.1314303604292581,4,0.3263830327196062,BERT
187,1.874817642154167,0.13002690204347409,4,0.27762278523037903,BERT
95,1.836892881526076,0.1087823483612672,4,0.3209885836659396,BERT
103,1.9619651297435725,0.14914456197278422,4,0.3295207152247024,BERT
16,1.9694046945813948,0.14619677497676978,8,0.30266581846424817,BERT
110,1.7945600939687072,0.15475941882151356,16,0.29285041400482986,BERT
86,1.9609315097054276,0.13906919893804195,4,0.31473069082526034,BERT
104,1.9102380201882208,0.12331137405798104,4,0.31616006753162196,BERT
115,1.83842739561664,0.16471403433439016,8,0.29928667824430244,BERT
102,1.8902919104157694,0.1330044548333496,4,0.31947815770448657,BERT
93,1.9982207785619706,0.11387925029022494,4,0.32210251992510613,BERT
99,1.9417776742466124,0.12779713358524464,4,0.31901074045539385,BERT
108,1.8976650512809405,0.1014159241218515,4,0.31899631910967896,BERT
90,1.7079410706215863,0.14734831601510967,4,0.2997101787294177,BERT
112,1.9451052516668303,0.2064650030313887,4,0.3116391246476948,BERT
96,1.8699172642875703,0.13623317164498977,4,0.32874121199501477,BERT
104,1.8545538725467572,0.1778246772020733,8,0.3204291127600751,BERT
81,1.2893524343276686,0.1182849038939627,16,0.2881579061603636,BERT
97,1.773974085559844,0.10868992105096656,2,0.3010164532314203,BERT
95,1.9997532741716242,0.13663884423746145,4,0.3188069175734219,BERT
102,1.8993597095142118,0.1280483465304869,4,0.31947815770448657,BERT
88,1.9420095228124095,0.15025949715404838,4,0.31124095395105983,BERT
98,1.8155293050176022,0.16210507525725598,4,0.3203309430183969,BERT
107,1.8600568618244502,0.12434767963882701,4,0.3111282602221036,BERT
92,1.9650975679537999,0.13904587216361022,4,0.3229393184614446,BERT
84,1.9112201883806572,0.11024441560448814,4,0.31522253471654943,BERT
101,1.0010054344282813,0.12038759812698432,8,0.2250099737087719,BERT
96,1.738861599722275,0.13493790395597766,4,0.3197012073446119,BERT
157,1.8778020012622008,0.1517079915914596,4,0.27964710784489755,BERT
93,1.934942927731562,0.10007031968908328,4,0.32512530453779537,BERT
103,1.9687223395763829,0.11372281099885669,4,0.3285742703290378,BERT
104,1.9996369517557477,0.1148771527066271,4,0.3203383387352649,BERT
108,1.9637952472783944,0.12528999381000705,4,0.31324370338976265,BERT
100,1.826038906236408,0.10765850025704203,4,0.3225850249979257,BERT
112,1.8912321197103228,0.24175627084971732,16,0.31282037024935344,BERT
89,1.9243934075344409,0.13943043891616724,8,0.3072121535737042,BERT
119,1.8633291299345167,0.10028019494314135,4,0.30096017120371055,BERT
96,1.7994898706272258,0.1175688511405453,4,0.3121941616219536,BERT
106,1.9629063095613342,0.1299754104619545,4,0.32085837884813584,BERT
99,1.9298768799594066,0.11230462966491456,4,0.32155771703985053,BERT
93,1.9094791575665075,0.12019543444938413,4,0.3275752681704731,BERT
91,1.8955664004274233,0.14343970510838064,4,0.3134665331841788,BERT
103,1.9985685685922303,0.12639230391614067,4,0.3292588402033345,BERT
102,1.9960796779300447,0.12133545758239357,4,0.3284663236176149,BERT
103,1.970088380377923,0.12164300179410922,4,0.3285742703290378,BERT
110,1.9988450937180047,0.3141862373656383,4,0.31145123694918625,BERT
104,1.9993170974808365,0.11933089277014271,4,0.3203383387352649,BERT
101,1.9566490631949094,0.1557359928250321,4,0.31997315516987224,BERT
107,1.9641531401754968,0.12324073961085992,4,0.3141707231029362,BERT
100,1.9335539630580718,0.13447606325547334,4,0.31822193862987125,BERT
103,1.9648945324658744,0.10941300577743157,8,0.33113878441622263,BERT
95,1.9717750964121237,0.10907443306791462,8,0.31101163456510583,BERT
115,1.9188746346099088,0.11350306528953127,8,0.3045103629173367,BERT
104,1.4731906320818153,0.101015053782651,8,0.276044013660338,BERT
98,1.85506405890119,0.1250313966508765,8,0.3284740911610564,BERT
97,1.8324041851676096,0.14293639705926073,8,0.34168345210461154,BERT
98,1.8614072552641043,0.1446026522783675,8,0.32641477135759606,BERT
87,1.8173601617549249,0.16866176364624588,8,0.31133551275682914,BERT
92,0.5772560094389642,0.4003737928127885,8,0.1316977097164421,BERT
97,1.9088173837435867,0.12417966492678287,8,0.33215673533607265,BERT
102,1.8423284086231944,0.1281024964927231,8,0.3131240372192589,BERT
109,1.9040299682323587,0.14129788290433276,8,0.3031959728530532,BERT
98,1.6664114507072672,0.1229177463112249,8,0.31326579661241977,BERT
106,1.85983446367076,0.15125219405933768,8,0.31680027083817125,BERT
93,1.5708028963269989,0.1346172587820697,8,0.2957619255872821,BERT
102,1.9160368945718276,0.12027775155335235,8,0.32292812640238916,BERT
97,1.7700963722015575,0.1653273729253861,8,0.3357905115493822,BERT
98,1.7726375634237392,0.1644477484034752,8,0.31926894696026187,BERT
105,1.8143179145394852,0.18255354186585535,8,0.3088282701898402,BERT
95,1.9633368971397405,0.14626059010147938,8,0.31101163456510583,BERT
90,1.8867464539658747,0.15915572247737242,8,0.3066504422976402,BERT
99,1.9985264018418316,0.12969420540893653,8,0.32347033122438007,BERT
112,1.930469324540213,0.1135455145535004,8,0.3100664426070329,BERT
102,1.8450623386820286,0.138713697084217,8,0.3131240372192589,BERT
95,1.3928626241783637,0.2872869944475489,8,0.28773161060581837,BERT
86,1.7356054019789102,0.1235620694223565,2,0.3160172106416033,BERT
107,1.890170796661591,0.15010181752495272,8,0.3104198852136828,BERT
97,1.780743540127914,0.19224982622589665,8,0.3353574178098298,BERT
146,0.6797657790331472,0.46116655967837195,8,0.44204655354142264,word2vec
56,0.8470083873124806,0.3914875329139852,8,0.44124900299243314,word2vec
5,1.7630486546544668,0.4167347210034382,16,0.3339801463705115,word2vec
153,0.30233312195184925,0.442536122370192,8,0.25046057752624457,word2vec
101,1.4796217996957761,0.34862701676409247,2,0.502977409116537,word2vec
130,1.3848067738795258,0.1325666631183646,2,0.4739260994605493,word2vec
120,0.4465689851083625,0.1387636489231779,4,0.27494061739852976,word2vec
88,0.3576677826886019,0.19636563847593483,16,0.2682363192072943,word2vec
114,1.768590237775452,0.19322737522485064,2,0.4952404914569514,word2vec
105,0.4201662237000527,0.2911210382395065,2,0.2762934893976513,word2vec
178,1.2103467168817623,0.5978953819292874,4,0.43131220621047883,word2vec
64,1.9310180351597337,0.27368362064767915,2,0.3932836632051798,word2vec
78,1.6218570929943767,0.2461965659137343,2,0.4777932493520309,word2vec
34,1.5035208037414993,0.3307611877735408,2,0.38227249081977466,word2vec
189,1.9254252924680908,0.10044302005772121,2,0.5350920298951553,word2vec
192,1.9872152498938425,0.1018261209624947,2,0.516195065350238,word2vec
189,1.9899239800581716,0.10328434990397999,2,0.5312983081601999,word2vec
170,1.185380210681207,0.16252334553544528,16,0.48144116464264236,word2vec
190,1.779204618043966,0.1070830244804887,4,0.5111615477632264,word2vec
163,1.9192717491650773,0.21006890918898152,2,0.5257384604881483,word2vec
139,1.992642293878488,0.1638465328619808,2,0.46782141098122487,word2vec
164,1.6719350384062988,0.20610506191153022,2,0.520814696664659,word2vec
195,1.8585447579727727,0.11335568337106262,2,0.5136396969797272,word2vec
161,1.6024388335464759,0.1606505951277728,2,0.4830107623858724,word2vec
178,1.8482204232369155,0.2094093484468162,2,0.5191085701524716,word2vec
177,1.9740901756990878,0.10279362087939087,2,0.517869082832252,word2vec
149,1.7027161184822506,0.14914461105238308,8,0.5146290918412304,word2vec
132,1.8403989489072339,0.22569626630053266,16,0.46086909524480746,word2vec
185,1.5742448048727657,0.17683067484712578,4,0.5179058892928295,word2vec
156,1.3973862722821797,0.2517749179072518,8,0.4689435781922799,word2vec
170,1.9989759067153317,0.13612176381648866,2,0.5185421941957996,word2vec
166,1.6893612510014924,0.21602138926103395,2,0.48379068268918995,word2vec
142,1.8233202292975144,0.17969261413512988,2,0.5035436402407893,word2vec
183,1.7101651234153683,0.13053948843032243,2,0.5079580667807606,word2vec
