k,nc,umap_n_components,NMI,embedding
44,6,8,0.24499734920959337,BERT
45,6,8,0.2608043297181052,BERT
48,6,8,0.1819568356482645,BERT
40,6,8,0.2382074093077838,BERT
43,6,16,0.2129499999621952,BERT
46,6,8,0.2490082245281366,BERT
44,6,2,0.19149637577623194,BERT
47,6,8,0.18051510498021026,BERT
45,6,8,0.2608043297181052,BERT
45,6,8,0.2608043297181052,BERT
46,6,8,0.2490082245281366,BERT
44,6,8,0.24499734920959337,BERT
43,6,8,0.24399137779541608,BERT
45,6,8,0.2608043297181052,BERT
47,6,8,0.18051510498021026,BERT
42,6,8,0.2400759918801192,BERT
46,6,8,0.2490082245281366,BERT
48,6,8,0.1819568356482645,BERT
44,6,4,0.18708708079115924,BERT
45,6,8,0.2608043297181052,BERT
45,6,8,0.2608043297181052,BERT
46,6,8,0.2490082245281366,BERT
47,6,8,0.18051510498021026,BERT
18,6,8,0.20387593638398208,BERT
43,6,8,0.24399137779541608,BERT
44,6,8,0.24499734920959337,BERT
46,6,8,0.2490082245281366,BERT
45,6,8,0.2608043297181052,BERT
42,6,8,0.2400759918801192,BERT
45,6,8,0.2608043297181052,BERT
44,6,8,0.24499734920959337,BERT
46,6,8,0.2490082245281366,BERT
43,6,8,0.24399137779541608,BERT
47,6,8,0.18051510498021026,BERT
45,6,8,0.2608043297181052,BERT
46,6,16,0.20652566242446455,BERT
44,6,8,0.24499734920959337,BERT
47,6,2,0.22808626745903798,BERT
48,6,8,0.1819568356482645,BERT
45,6,8,0.2608043297181052,BERT
44,6,8,0.24499734920959337,BERT
45,6,8,0.2608043297181052,BERT
46,6,8,0.2490082245281366,BERT
43,6,8,0.24399137779541608,BERT
44,6,8,0.24499734920959337,BERT
45,6,8,0.2608043297181052,BERT
47,6,8,0.18051510498021026,BERT
35,6,8,0.2337377905151805,BERT
37,6,2,0.4088928430939745,word2vec
36,6,8,0.4445753289043472,word2vec
32,6,8,0.4389301919008985,word2vec
12,6,8,0.4723204847716897,word2vec
40,6,8,0.4880667056141881,word2vec
34,6,8,0.44495882792551605,word2vec
33,6,16,0.4412546258786775,word2vec
26,6,16,0.3890213370249996,word2vec
9,6,4,0.4648420010052589,word2vec
21,6,16,0.4211927643840122,word2vec
48,6,4,0.44435491103407726,word2vec
5,6,8,0.3370425681492086,word2vec
17,6,8,0.4023218058793273,word2vec
46,6,2,0.45341014177998495,word2vec
42,6,8,0.48303039001203,word2vec
43,6,8,0.48648317959761744,word2vec
43,6,8,0.48648317959761744,word2vec
50,6,4,0.4428593105664973,word2vec
41,6,2,0.43767718157272045,word2vec
27,6,8,0.4380799875498365,word2vec
39,6,8,0.4440691713864357,word2vec
45,6,8,0.48492656178980453,word2vec
43,6,8,0.48648317959761744,word2vec
30,6,8,0.4245135002671775,word2vec
40,6,8,0.4880667056141881,word2vec
39,6,8,0.4440691713864357,word2vec
50,6,4,0.4428593105664973,word2vec
22,6,2,0.38627380020050134,word2vec
39,6,16,0.49809597911230097,word2vec
37,6,16,0.4799692312316721,word2vec
37,6,16,0.4799692312316721,word2vec
40,6,16,0.494180128994356,word2vec
39,6,16,0.49809597911230097,word2vec
30,6,16,0.4445594544967674,word2vec
36,6,16,0.4729180630146093,word2vec
34,6,16,0.4486586918838121,word2vec
46,6,16,0.49491566664247255,word2vec
46,6,16,0.49491566664247255,word2vec
46,6,16,0.49491566664247255,word2vec
48,6,16,0.4930462346785379,word2vec
45,6,16,0.49289185682779335,word2vec
47,6,16,0.49403328151457543,word2vec
45,6,16,0.49289185682779335,word2vec
50,6,16,0.49029781605446493,word2vec
35,6,16,0.4459483055673275,word2vec
31,6,16,0.4196224186602933,word2vec
48,6,16,0.4930462346785379,word2vec
45,6,16,0.49289185682779335,word2vec
47,6,16,0.49403328151457543,word2vec
42,6,16,0.49613153736451293,word2vec
38,6,2,0.41635111436776256,word2vec
42,6,16,0.49613153736451293,word2vec
42,6,16,0.49613153736451293,word2vec
41,6,16,0.4936992862936351,word2vec
43,6,16,0.4932560265248114,word2vec
42,6,4,0.43955942144965765,word2vec
32,6,16,0.44217859423794775,word2vec
24,6,16,0.43932544600731815,word2vec
39,6,16,0.49809597911230097,word2vec
16,6,2,0.4057086467760338,word2vec
38,6,4,0.4337801341482375,word2vec
41,6,16,0.4936992862936351,word2vec
43,6,16,0.4932560265248114,word2vec
44,6,16,0.4926723916181522,word2vec
39,6,16,0.49809597911230097,word2vec
35,6,16,0.4459483055673275,word2vec
39,6,16,0.49809597911230097,word2vec
39,6,16,0.49809597911230097,word2vec
39,6,16,0.49809597911230097,word2vec
33,6,2,0.4050966129917832,word2vec
39,6,16,0.49809597911230097,word2vec
39,6,16,0.49809597911230097,word2vec
36,6,16,0.4729180630146093,word2vec
37,6,16,0.4799692312316721,word2vec
39,6,16,0.49809597911230097,word2vec
40,6,4,0.43237690787525374,word2vec
34,6,16,0.4486586918838121,word2vec
38,6,16,0.4938878780529226,word2vec
36,6,16,0.4729180630146093,word2vec
40,6,16,0.494180128994356,word2vec
29,6,16,0.4471683264745452,word2vec
39,6,16,0.49809597911230097,word2vec
37,6,16,0.4799692312316721,word2vec
35,6,16,0.4459483055673275,word2vec
40,6,16,0.494180128994356,word2vec
38,6,16,0.4938878780529226,word2vec
33,6,16,0.4412546258786775,word2vec
41,6,16,0.4936992862936351,word2vec
39,6,16,0.49809597911230097,word2vec
36,6,2,0.41390771066812304,word2vec
38,6,16,0.4938878780529226,word2vec
39,6,16,0.49809597911230097,word2vec
41,6,16,0.4936992862936351,word2vec
44,6,16,0.4926723916181522,word2vec
39,6,16,0.49809597911230097,word2vec
34,6,16,0.4486586918838121,word2vec
6,6,16,0.26171123778368366,word2vec
36,6,4,0.43337925484475215,word2vec
37,6,8,0.4479757725617066,word2vec
44,6,16,0.4926723916181522,word2vec
42,6,16,0.49613153736451293,word2vec
39,6,16,0.49809597911230097,word2vec
38,6,16,0.4938878780529226,word2vec
40,6,16,0.494180128994356,word2vec
41,6,16,0.4936992862936351,word2vec
35,6,16,0.4459483055673275,word2vec
39,6,16,0.49809597911230097,word2vec
37,6,16,0.4799692312316721,word2vec
43,6,16,0.4932560265248114,word2vec
42,6,2,0.4346956745261124,word2vec
32,6,16,0.44217859423794775,word2vec
40,6,16,0.494180128994356,word2vec
39,6,16,0.49809597911230097,word2vec
38,6,16,0.4938878780529226,word2vec
41,6,16,0.4936992862936351,word2vec
40,6,16,0.494180128994356,word2vec
39,6,4,0.4477798090814934,word2vec
37,6,16,0.4799692312316721,word2vec
35,6,8,0.44779569552385146,word2vec
19,6,16,0.41673382206120335,word2vec
36,6,16,0.4729180630146093,word2vec
39,6,16,0.49809597911230097,word2vec
38,6,16,0.4938878780529226,word2vec
39,6,16,0.49809597911230097,word2vec
41,6,16,0.4936992862936351,word2vec
37,6,16,0.4799692312316721,word2vec
43,6,16,0.4932560265248114,word2vec
39,6,16,0.49809597911230097,word2vec
12,6,16,0.43984692077648285,word2vec
40,6,16,0.494180128994356,word2vec
38,6,16,0.4938878780529226,word2vec
40,6,16,0.494180128994356,word2vec
42,6,16,0.49613153736451293,word2vec
39,6,16,0.49809597911230097,word2vec
41,6,16,0.4936992862936351,word2vec
37,6,16,0.4799692312316721,word2vec
38,6,2,0.41635111436776256,word2vec
40,6,16,0.494180128994356,word2vec
36,6,16,0.4729180630146093,word2vec
25,6,4,0.44199902518751827,word2vec
39,6,16,0.49809597911230097,word2vec
39,6,16,0.49809597911230097,word2vec
38,6,16,0.4938878780529226,word2vec
41,6,16,0.4936992862936351,word2vec
39,6,16,0.49809597911230097,word2vec
37,6,16,0.4799692312316721,word2vec
35,6,8,0.44779569552385146,word2vec
42,6,16,0.49613153736451293,word2vec
40,6,16,0.494180128994356,word2vec
36,6,16,0.4729180630146093,word2vec
38,6,16,0.4938878780529226,word2vec
39,6,16,0.49809597911230097,word2vec
40,6,16,0.494180128994356,word2vec
39,6,16,0.49809597911230097,word2vec
41,6,16,0.4936992862936351,word2vec
37,6,16,0.4799692312316721,word2vec
38,6,16,0.4938878780529226,word2vec
40,6,16,0.494180128994356,word2vec
43,6,16,0.4932560265248114,word2vec
38,6,16,0.4938878780529226,word2vec
41,6,16,0.4936992862936351,word2vec
39,6,16,0.49809597911230097,word2vec
37,6,16,0.4799692312316721,word2vec
39,6,16,0.49809597911230097,word2vec
40,6,16,0.494180128994356,word2vec
38,6,16,0.4938878780529226,word2vec
42,6,2,0.4346956745261124,word2vec
39,6,16,0.49809597911230097,word2vec
41,6,16,0.4936992862936351,word2vec
36,6,4,0.43337925484475215,word2vec
39,6,16,0.49809597911230097,word2vec
40,6,16,0.494180128994356,word2vec
38,6,16,0.4938878780529226,word2vec
39,6,16,0.49809597911230097,word2vec
37,6,16,0.4799692312316721,word2vec
41,6,16,0.4936992862936351,word2vec
39,6,16,0.49809597911230097,word2vec
40,6,8,0.4880667056141881,word2vec
38,6,16,0.4938878780529226,word2vec
36,6,16,0.4729180630146093,word2vec
37,6,16,0.4799692312316721,word2vec
39,6,16,0.49809597911230097,word2vec
40,6,16,0.494180128994356,word2vec
38,6,16,0.4938878780529226,word2vec
42,6,16,0.49613153736451293,word2vec
39,6,16,0.49809597911230097,word2vec
41,6,16,0.4936992862936351,word2vec
38,6,16,0.4938878780529226,word2vec
40,6,16,0.494180128994356,word2vec
39,6,16,0.49809597911230097,word2vec
