density_threshold,distance_threshold,umap_n_components,NMI,embedding
0.10147517665552314,0.42725693770968365,2,0.3165561010723496,BERT
0.5455174077265147,0.08200801412441004,2,0.31810925934861006,BERT
0.2382426245779463,0.8887348438302609,8,0.29220646208837303,BERT
0.7129311470279565,0.7045963110734059,16,0.29394453734426357,BERT
0.7983504802783964,0.7142447567416073,8,0.29220646208837303,BERT
0.6135622265997801,0.6838052392144462,16,0.2955176019572508,BERT
0.6914322061446448,0.1624372995730464,16,0.3392201211778725,BERT
0.7602521920223257,0.5364330924917835,8,0.2981785850856247,BERT
0.31689186718819856,0.9949296912469136,8,0.2943809356197969,BERT
0.5345091970120123,0.03475943593380162,16,0.3373216419731346,BERT
0.9790663348482831,0.23956914012927988,4,0.3314433200862749,BERT
0.43867307559551283,0.017291318867295465,16,0.3401543551812662,BERT
0.3701437601108897,0.19026076757591787,16,0.3485761423240425,BERT
0.35133075991371693,0.2747723298551566,16,0.32692081315491633,BERT
0.43391442924196033,0.015371371426205987,4,0.33933302506016255,BERT
0.43273236150910405,0.17740296558029645,16,0.34615089484704137,BERT
0.04904269420204599,0.3181639457857723,16,0.327964147889909,BERT
0.201307792110144,0.14949833339859797,16,0.3388966170485617,BERT
0.41066673895889494,0.36346760209012685,2,0.32282602499877616,BERT
0.2771840855962635,0.1973629584824134,4,0.34846057101999095,BERT
0.17742484148346332,0.23201145204096824,4,0.3340171667026845,BERT
0.27755074381457245,0.155465996636697,4,0.3381498657344519,BERT
0.3527272440081956,0.36445749403836486,4,0.32166165036147315,BERT
0.28375074940878364,0.1953855213114513,4,0.3472686580924921,BERT
0.24342291118316575,0.10971501400721614,4,0.3359386763659479,BERT
0.15264258444762122,0.2348183545431803,4,0.3314834213237297,BERT
0.025253621697460482,0.09247458451467384,4,0.3348256680432497,BERT
0.2992195703340079,0.30364185739265304,4,0.32663564981372567,BERT
0.1525949641054526,0.20685256988403986,4,0.34502131199467884,BERT
0.14292499862579483,0.4144138555132542,2,0.31819111856357013,BERT
0.08219323363312964,0.49661683792783146,2,0.3165788353855251,BERT
0.38238817843713463,0.18373414242035396,16,0.347174960439775,BERT
0.37065811832240153,0.10509295498551298,16,0.3348093378539121,BERT
0.2672434853871033,0.2652351504758862,4,0.3337115288192635,BERT
0.4845926399941363,0.16987226279018036,16,0.34361570947994247,BERT
0.2264862310826486,0.0875888737146597,8,0.3362969889406945,BERT
0.3085223811340959,0.30713087214281387,2,0.321558968218368,BERT
0.37344131422948795,0.21026440619312642,16,0.3461440177355627,BERT
0.21031497722614245,0.05975250793832629,16,0.3345044760693211,BERT
0.5080620235706567,0.14388885161915332,8,0.33863704261615596,BERT
0.5946169806393821,0.07133617475867916,4,0.33584757130278126,BERT
0.4667644932165074,0.20031897901358708,16,0.34423668050622924,BERT
0.38578334877974896,0.17303223205424836,16,0.34395554290613084,BERT
0.32313869222563063,0.1272066909233491,16,0.3364173821398897,BERT
0.4444645230091686,0.2587194511713081,16,0.330525019117901,BERT
0.4097289985815157,0.1835999594716882,16,0.3474061750981089,BERT
0.26025603450511514,0.20408361082425738,16,0.345700262223003,BERT
0.3250244602325141,0.11377101613188008,8,0.3365761103902406,BERT
0.38115154934516443,0.03027962722767194,16,0.3388337179277002,BERT
0.40411353817235696,0.27885393605649744,4,0.3288886539975719,BERT
0.5117919427228697,0.3382743674614799,16,0.3265253695699721,BERT
0.4236303828725708,0.18873278219558062,16,0.3473325414063483,BERT
0.46356691046322446,0.23854126553355437,16,0.33476842562951714,BERT
0.3427456756663085,0.1447804122441902,16,0.3396338126274692,BERT
0.40977868109730176,0.18581131045167565,16,0.3477915327621401,BERT
0.4120506071686356,0.0697298325538927,16,0.3350843485696324,BERT
0.2898652442757847,0.2807082179838448,4,0.3288886539975719,BERT
0.3389291037096387,0.2161504720639552,16,0.3433610237389851,BERT
0.42698433672520614,0.12775801998921898,2,0.32474651207216043,BERT
0.562810275254326,0.011146270869755254,4,0.34031554205328746,BERT
0.24937778764331223,0.24423685626568353,8,0.34783623163647354,BERT
0.28425640713566735,0.17368475657629923,8,0.33875187479200686,BERT
0.24516517478788719,0.24132495333219592,8,0.3474539321610574,BERT
0.19330657049175096,0.24518602527204586,8,0.3477136698817025,BERT
0.23922111844030147,0.24183917892962953,8,0.3474131527329931,BERT
0.2382752413658268,0.23915340268492974,8,0.34634307454376373,BERT
0.19783744125854588,0.29761695491985235,8,0.32528326374437555,BERT
0.17844972094971184,0.34015077839893565,8,0.3203357312943092,BERT
0.2488756356220589,0.24371030176534297,8,0.34792658420381234,BERT
0.26587333774645994,0.26737703528120194,8,0.32686689380699724,BERT
0.19892028277742635,0.38516863482845076,8,0.3187415324204979,BERT
0.235023233360324,0.23893119473472316,8,0.347214765158063,BERT
0.12100630276629391,0.3148101035747144,8,0.3207494601064966,BERT
0.30743477564432153,0.22371767451382046,8,0.3448470268666454,BERT
0.24507094225603449,0.25742157355959516,8,0.3286578195632659,BERT
0.16797329357106897,0.2931276220910145,8,0.32547913626444813,BERT
0.20577896323914685,0.15617079057341104,8,0.3375826794116756,BERT
0.2932363623038127,0.22053820263985632,8,0.3431213938636655,BERT
0.2531277436248327,0.2541497627232565,8,0.3285322689788364,BERT
0.3547270154806462,0.15358636861945357,8,0.3380055962758383,BERT
0.2226040726759859,0.10818152720394597,8,0.33628615054593347,BERT
0.32146427048937376,0.19681405771340532,8,0.3380765953381938,BERT
0.27028697623220443,0.18289007466980564,8,0.3397136098438342,BERT
0.35889965915891336,0.1331048941648836,2,0.3247397284567341,BERT
0.30009331813976936,0.28577988683417926,8,0.32192137981789165,BERT
0.17768361651698678,0.16363751703362692,8,0.33624928768714935,BERT
0.3348505082195262,0.22203864225093167,8,0.34327559081400033,BERT
0.3890724223621531,0.25506764060544823,16,0.33230796216927877,BERT
0.2543924642551272,0.18791132831865529,8,0.3404484385898926,BERT
0.14386944932317508,0.20232449579519313,2,0.327001738101396,BERT
0.31492690353439734,0.32102687195616353,16,0.327964147889909,BERT
0.40725530165650803,0.18450950757322057,16,0.347201871071744,BERT
0.35634993632059664,0.2335624289830332,16,0.3386807305072915,BERT
0.46492893650390504,0.13670501548136518,16,0.33723127473968467,BERT
0.22104980137918995,0.1685602552552474,16,0.3438904066123441,BERT
0.28680962645259134,0.2747163913644064,16,0.3263645041183851,BERT
0.4230731562582451,0.09913879002863116,4,0.33453666604885085,BERT
0.3712955610900192,0.20442032611260738,16,0.34576413502929976,BERT
0.2715534425375195,0.2541379251017085,8,0.3285322689788364,BERT
0.39585180937819175,0.12464034142398771,16,0.3348980479651323,BERT
0.3333371046311648,0.22164151050125055,4,0.34014603705009705,BERT
0.27797367056359096,0.18047236469544015,4,0.34308198421953967,BERT
0.2322475955971574,0.2027433770369804,4,0.34743491052538467,BERT
0.23476570247231401,0.14825940543938565,4,0.33916513086980726,BERT
0.2070117579702248,0.24354527039639937,4,0.3310783231138913,BERT
0.44924749337723013,0.2753000819195151,4,0.32930478614211806,BERT
0.2521524567709345,0.19766595510885773,8,0.33822163822289425,BERT
0.30322031941808825,0.2219103411778863,16,0.34133179741913416,BERT
0.18966527876697803,0.30316705918053183,8,0.3255600829678542,BERT
0.22566975490633767,0.08536627738263435,4,0.3350499829240548,BERT
0.15837929627394154,0.16334709466463534,16,0.3401233590946905,BERT
0.21806575379897244,0.1936236165059202,4,0.34689177007508437,BERT
0.24556066626220246,0.24527763705964767,4,0.33126573435151496,BERT
0.18492633616939014,0.21673369337563436,4,0.3475298673364778,BERT
0.189983923423936,0.2166724730804565,4,0.3475298673364778,BERT
0.1747324855132002,0.22146758378565487,4,0.34014603705009705,BERT
0.1251513068094277,0.2701301488515102,4,0.3313473176139548,BERT
0.18544179148477435,0.29024067722050256,4,0.3314912119964197,BERT
0.19518670319732928,0.20926885803389084,4,0.3451574027757211,BERT
0.16093152787330448,0.23797039618239302,4,0.3309273548931747,BERT
0.2149974001367334,0.16051686288320974,8,0.33624539371634304,BERT
0.2634959322238316,0.1909364682254006,2,0.3310798966465809,BERT
0.23494038108530252,0.17512832474320045,8,0.3389113950556974,BERT
0.18964018926079212,0.2547554606900229,4,0.3301992513209506,BERT
0.4174688264270715,0.12868432077699016,16,0.33645374096895736,BERT
0.27972797296297247,0.2085621415463188,8,0.34250119276820257,BERT
0.13113045084620864,0.14497305128279997,4,0.3376593161118423,BERT
0.48647959332941515,0.23540437815184675,8,0.34713959857219684,BERT
0.3086665263672834,0.26209438783355266,16,0.331293962042898,BERT
0.4423160172684803,0.17886942435691283,8,0.3388011536572884,BERT
0.34336720301110896,0.3266780013396945,16,0.32807266382856454,BERT
0.20886857898904063,0.2063203495428079,4,0.344907684285683,BERT
0.25033180960386986,0.22688200405516054,4,0.3357772911484197,BERT
0.29315935226370865,0.29397978536896385,4,0.32750933912710567,BERT
0.3743044369928652,0.15478132113726045,4,0.33847668531882946,BERT
0.263985652012354,0.11422547665970575,4,0.3365825658688554,BERT
