bandwidth,umap_n_components,NMI,embedding
0.5592547402771589,16,0.3267957772974892,BERT
0.9053288170679453,8,0.30615359511276574,BERT
0.5691005900129408,2,0.307024423783713,BERT
0.26123223403413426,2,0.308583457512179,BERT
0.881853871920864,4,0.3034543210387115,BERT
0.03179054640312771,8,0.3373222558332146,BERT
0.11042143506920617,4,0.3313983023218204,BERT
0.89880778626961,2,0.270192590703074,BERT
0.39877397655903885,2,0.30922232634313784,BERT
0.848649118049499,2,0.2800952496164377,BERT
0.05456038971474614,8,0.3347051845283386,BERT
0.022506029860402045,8,0.33683245040890786,BERT
0.028492492807694947,8,0.3375220561404912,BERT
0.20868784085773545,8,0.32908462480460515,BERT
0.015225514075584019,8,0.3396193195309388,BERT
0.1667884321223646,16,0.3307191439309347,BERT
0.3128099269616226,8,0.33086504895900065,BERT
0.16010552877488315,8,0.3297209083139313,BERT
0.12430014495647096,8,0.3326890635046697,BERT
0.021792110066019676,4,0.3377915877962307,BERT
0.2490678924848144,4,0.3276000621083069,BERT
0.022024408454723726,4,0.33802230818309403,BERT
0.08766213801235336,4,0.33433875999007945,BERT
0.12798161648021097,4,0.3320246836587673,BERT
0.0330557760542323,4,0.33597701668694946,BERT
0.10254876172224515,4,0.3346795574642143,BERT
0.1811700279626865,4,0.3289017358054037,BERT
0.0825775239802047,16,0.33431728361056284,BERT
0.01461054441349317,4,0.3397853436846441,BERT
0.21044469481959346,16,0.3262940537106414,BERT
0.1349732254121294,4,0.32930054754335314,BERT
0.03199702642197205,4,0.33606127024660465,BERT
0.014172988093567927,4,0.33980812613535133,BERT
0.07828144694201017,4,0.3347690176934006,BERT
0.08858976913171589,4,0.3344194651184323,BERT
0.016308464159971725,4,0.3395327136059418,BERT
0.16186609059143536,16,0.3317893297249982,BERT
0.07524313147930964,4,0.3341798583478657,BERT
0.01106448180219779,4,0.33991180224174633,BERT
0.2874944332768664,2,0.31103772302504656,BERT
0.12536991794648236,4,0.33246700971557497,BERT
0.010612217966128443,4,0.3403243144215215,BERT
0.06305993032693466,4,0.3337125569112643,BERT
0.0660964753940632,4,0.3338954497534992,BERT
0.010507261829403728,2,0.33670055150652406,BERT
0.061138671527393496,8,0.33492954849326195,BERT
0.09990935770166987,4,0.33520174929742835,BERT
0.5092675590921696,8,0.3271826009470346,BERT
0.13436577136807465,4,0.32948576643622696,BERT
0.05569008436872331,2,0.31846836626543373,BERT
0.1889029287877405,8,0.32883661192284935,BERT
0.010441197704980284,4,0.34034122345635537,BERT
0.014920956155313003,4,0.3396089785735654,BERT
0.053073913838153436,4,0.33403927663214905,BERT
0.10544793600873062,4,0.3337060713452562,BERT
0.05386377643188557,4,0.3338330764218488,BERT
0.014495158766309229,8,0.3398229362007268,BERT
0.14541905399871832,16,0.3337301582769409,BERT
0.0992965991857931,4,0.3350364637855408,BERT
0.04834169160820935,8,0.3356292269904237,BERT
0.11182190117634078,4,0.33149075683626333,BERT
0.012776847309175457,8,0.34044887637430354,BERT
0.043818738263600415,8,0.3362830039539182,BERT
0.010708372770315383,8,0.34078957657495296,BERT
0.04660552027298403,8,0.335616535735332,BERT
0.08571225291205357,8,0.33647264377408054,BERT
0.0375652297344645,8,0.33677526449714085,BERT
0.014210679074656049,8,0.339924949495425,BERT
0.1382041979563976,8,0.33293175438782274,BERT
0.075915383756345,8,0.33515255852163994,BERT
0.10799636678765685,8,0.3355535005365493,BERT
0.012089202174399866,8,0.34049910612614687,BERT
0.010033041425486208,8,0.3411169831463541,BERT
0.041177807695562244,8,0.3369399658380651,BERT
0.07376920504006222,8,0.3355157929685049,BERT
0.03672222916939699,8,0.33706382129570345,BERT
0.012743158211869046,8,0.34044887637430354,BERT
0.08344861759843486,8,0.3357861581847251,BERT
0.03538123836996627,8,0.3370494272353179,BERT
0.15241202470408244,8,0.33019711018621667,BERT
0.12241093290746895,8,0.33282056844764313,BERT
0.015462580944025061,8,0.3395411321628928,BERT
0.05945664217841732,8,0.33510211186766825,BERT
0.03705151558182275,8,0.3370636135077834,BERT
0.01040836545161256,16,0.34102508743693655,BERT
0.0106014414066289,16,0.34102508743693655,BERT
0.0704464323793085,16,0.33537554263456854,BERT
0.09767174668803177,16,0.33298841689483616,BERT
0.034548040306321685,16,0.33755274435596005,BERT
0.0639982791697679,16,0.3359012749042491,BERT
