n_clusters,epsilon,umap_n_components,NMI,embedding
4,0.3418322274195953,16,0.0,BERT
4,0.6702505611006988,16,0.0,BERT
4,0.625212151103519,16,0.0,BERT
4,0.6906449648407507,16,0.0,BERT
4,0.7632627895367077,8,0.0,BERT
4,0.8789626836990145,16,0.0,BERT
4,0.7277211716023664,2,0.0,BERT
4,0.5967072303777587,8,0.0,BERT
4,0.5460852846417799,16,0.0,BERT
4,0.02361102803170856,16,0.0,BERT
4,0.012249106557492423,16,0.0,BERT
4,0.06724154847766936,16,0.0,BERT
4,0.056764125422420715,16,0.0,BERT
4,0.08682803369847218,2,0.0,BERT
4,0.05614318885433309,16,0.0,BERT
4,0.038872167577916686,4,0.0,BERT
4,0.5899531557111996,8,0.0,BERT
4,0.45401133991781834,16,0.0,BERT
4,0.11268963870559401,2,0.0,BERT
4,0.2867058888869017,16,0.0,BERT
4,0.9944349935610961,16,0.0,BERT
4,0.09263198230308842,16,0.0,BERT
4,0.13981760390848377,16,0.0,BERT
4,0.6397453533322418,8,0.0,BERT
4,0.19031884699350615,16,0.0,BERT
4,0.042177178707543714,2,0.0,BERT
4,0.9315206948141213,4,0.0,BERT
4,0.8529780586540271,8,0.0,BERT
4,0.5722069915431426,16,0.0,BERT
4,0.47693413612483976,4,0.0,BERT
4,0.40988215769838365,4,0.0,BERT
4,0.7052913541147533,4,0.0,BERT
4,0.9618874352944319,2,0.0,BERT
4,0.06935473555011379,4,0.0,BERT
4,0.5033791846369512,16,0.0,BERT
4,0.7354607501616448,8,0.0,BERT
4,0.6593594567672169,16,0.0,BERT
4,0.7705317777125741,4,0.0,BERT
4,0.822044808230293,2,0.0,BERT
4,0.11072476756224595,16,0.0,BERT
4,0.9983841341060784,16,0.0,BERT
4,0.2930613550837438,16,0.0,BERT
4,0.6743658803271968,16,0.0,BERT
4,0.9084161105686772,16,0.0,BERT
4,0.9454241752203034,8,0.0,BERT
4,0.2515210723834505,16,0.0,BERT
4,0.9719908973119983,2,0.0,BERT
4,0.8883907253740347,16,0.0,BERT
4,0.7472201466100408,8,0.0,BERT
4,0.3296335785892694,16,0.0,BERT
4,0.3722436472896664,16,0.0,BERT
4,0.804523708603337,16,0.0,BERT
4,0.6924418092345218,16,0.0,BERT
4,0.08160942333786181,16,0.0,BERT
4,0.12928841065947838,4,0.0,BERT
4,0.8415006520370475,2,0.0,BERT
4,0.1010735929684182,16,0.0,BERT
4,0.6390842382063474,8,0.0,BERT
4,0.02451551995024781,16,0.0,BERT
4,0.16551149659382286,16,0.0,BERT
4,0.7931253370985157,16,0.0,BERT
4,0.18751932820331735,16,0.0,BERT
4,0.9185182654852998,16,0.0,BERT
4,0.6111981100170705,2,0.0,BERT
4,0.9793437273733492,16,0.0,BERT
4,0.30915015848182614,4,0.0,BERT
4,0.2527314233994033,8,0.0,BERT
4,0.2698272410866239,16,0.0,BERT
4,0.22564708435686973,2,0.0,BERT
4,0.8747464650483032,4,0.0,BERT
4,0.7257169728248284,4,0.0,BERT
