density_threshold,distance_threshold,umap_n_components,NMI,embedding,f1_score,accuracy,precision,recall
0.6658981652577595,0.948744419406881,8,0.6364766050688413,BERT,0.9188602039265549,0.9190000000000002,0.9207038441107904,0.9195202455075862
0.6586808119863912,0.9693146659866396,8,0.6364766050688413,BERT,0.9202189586486427,0.9209999999999999,0.9218794953749028,0.9206036339060107
0.6538268389540906,0.93972711494206,8,0.6364766050688413,BERT,0.9218013156277195,0.9225,0.9235821847127911,0.9216087426100696
0.8482018909714761,0.9956680859134246,16,0.6588201535210368,fasttext,0.9466663295574532,0.9469999999999998,0.9476527027824215,0.946988335771769
0.5326949430026415,0.9991867517163824,16,0.6588201535210368,fasttext,0.9402445337021401,0.9405000000000001,0.9420755428622891,0.9409037587987921
0.5905054153243505,0.9979451249969608,16,0.6588201535210368,fasttext,0.9389596074413987,0.9400000000000001,0.9427920602060531,0.9399555663331615
0.7063487308669955,0.9996779336949396,8,0.5471531004698361,tfidf,0.929861729309278,0.9305,0.9324052700306279,0.9304824311725326
0.7733109032294776,0.9973613987125756,8,0.5471531004698361,tfidf,0.9323186233623945,0.9324999999999999,0.934552909027617,0.9330166028339324
0.6511922132577089,0.9991318404967766,8,0.5471531004698361,tfidf,0.910144679827751,0.9110000000000001,0.9123921186788042,0.9106334649563663
0.4569861893006404,0.9949155707642592,8,0.6522272893262592,word2vec,0.9181088586688558,0.9185000000000001,0.9189367637251402,0.918614484240012
0.50195555020601,0.9950405385687634,8,0.6522272893262592,word2vec,0.9315221370101898,0.932,0.932528055404485,0.9318787561825722
0.5025139815564942,0.9986688204504852,8,0.6522272893262592,word2vec,0.9167409805986075,0.917,0.9201460458706698,0.9168951454820948
