n_clusters,tsne_n_components,NMI,embedding
5,2,0.8404544950729728,BERT
5,16,0.4116352895716907,BERT
5,2,0.8386516289258108,BERT
5,2,0.840454495072973,BERT
5,2,0.8392013915285551,BERT
5,2,0.8404544950729727,BERT
5,2,0.8392013915285552,BERT
5,2,0.8386516289258106,BERT
5,2,0.8386516289258107,BERT
5,2,0.8392013915285551,BERT
2,2,0.43355876163184176,BERT
5,2,0.8404544950729728,BERT
5,2,0.8386516289258108,BERT
4,8,0.6001355219689548,word2vec
5,2,0.7986749283934242,word2vec
3,4,0.5458516621865276,word2vec
6,16,0.4887587010182298,word2vec
6,16,0.492403280973271,word2vec
4,4,0.6263891042076601,word2vec
6,2,0.74945951370871,word2vec
5,8,0.6454977025807085,word2vec
3,16,0.41018632540620653,word2vec
3,8,0.5250377099455976,word2vec
2,2,0.42166768048519815,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.798674928393424,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7986749283934242,word2vec
4,2,0.6924761505889843,word2vec
5,2,0.7986749283934244,word2vec
6,2,0.7498123736696315,word2vec
5,4,0.7248651940933629,word2vec
4,2,0.6924761505889843,word2vec
6,2,0.7496512709795261,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7995657004069959,word2vec
4,2,0.6924761505889843,word2vec
5,2,0.799565700406996,word2vec
4,2,0.6924761505889843,word2vec
5,4,0.7240184065806506,word2vec
6,8,0.5947914603421095,word2vec
5,16,0.5414416640130588,word2vec
4,8,0.6016604238412088,word2vec
2,2,0.42166768048519815,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7986749283934242,word2vec
6,2,0.7551949007405654,word2vec
5,2,0.7986749283934242,word2vec
6,16,0.48599225775232574,word2vec
4,4,0.6263891042076601,word2vec
5,2,0.7986749283934244,word2vec
5,2,0.7986749283934244,word2vec
6,2,0.7483781876087652,word2vec
3,16,0.40152611702755825,word2vec
5,2,0.7995657004069959,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7986749283934242,word2vec
5,8,0.6454977025807083,word2vec
4,2,0.6924761505889843,word2vec
6,2,0.7406054318480808,word2vec
5,4,0.7248651940933628,word2vec
4,2,0.6924761505889842,word2vec
5,2,0.7986749283934244,word2vec
6,2,0.7478541287220216,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.798674928393424,word2vec
5,2,0.7995657004069959,word2vec
5,2,0.7995657004069959,word2vec
5,2,0.7986749283934244,word2vec
5,16,0.5414416640130589,word2vec
4,8,0.6073026715524532,word2vec
6,2,0.7457073833304566,word2vec
5,2,0.7986749283934242,word2vec
4,2,0.6924761505889843,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7986749283934244,word2vec
5,4,0.7240184065806506,word2vec
5,2,0.7986749283934242,word2vec
5,2,0.7995657004069959,word2vec
