min_samples,xi,tsne_n_components,NMI,embedding
75,0.05779916827393375,2,0.5865584750419746,word2vec
68,0.0906679344298286,2,0.4472457185354168,word2vec
76,0.04856561359328438,2,0.5867228581495398,word2vec
74,0.14070829243439117,2,0.4265902326825013,word2vec
59,0.04283662040703188,2,0.5385178514044601,word2vec
91,0.07647620423147072,2,0.4275054085432661,word2vec
76,0.11403450040037494,2,0.4265902326825013,word2vec
71,0.05906056778273293,2,0.6289002208877478,word2vec
62,0.07902945786612928,2,0.4488258294172775,word2vec
71,0.04282515152042667,2,0.6215180593871608,word2vec
52,0.12408495595191335,2,0.4265902326825013,word2vec
94,0.04139026449539332,2,0.6942445036249081,word2vec
103,0.16805662397811771,2,0.42854770701909534,word2vec
117,0.11135509739689964,2,0.4310999150120476,word2vec
69,0.04171861119432872,2,0.6213963946724286,word2vec
70,0.03483168307174052,2,0.3770915409068434,word2vec
88,0.07571846164232782,2,0.6281878395056497,word2vec
88,0.06869153890870433,2,0.6281878395056497,word2vec
93,0.08859285043906612,2,0.4275054085432661,word2vec
89,0.12413051474599608,2,0.4265902326825013,word2vec
95,0.07544928516469018,2,0.6278644968454363,word2vec
108,0.08583840569753956,2,0.4310999150120476,word2vec
95,0.06963431927586203,2,0.5770821108517473,word2vec
116,0.1551988531324346,2,0.4310999150120476,word2vec
79,0.07412648975392604,2,0.6219191513935397,word2vec
101,0.10476553611411002,2,0.42854770701909534,word2vec
88,0.030455333683149878,2,0.6973907352932478,word2vec
97,0.03252886462286913,2,0.696700139039084,word2vec
88,0.033127737834719506,2,0.698762739930842,word2vec
87,0.03419213630675786,2,0.702313568672766,word2vec
109,0.033029884855984105,2,0.6957194648655961,word2vec
109,0.028376764952816512,2,0.6957194648655961,word2vec
125,0.028292238008455255,2,0.5802731699746633,word2vec
114,0.0312602012609319,2,0.6892475192044424,word2vec
113,0.01063950347207247,2,0.7189342999039876,word2vec
118,0.01080416003464658,2,0.7445177920753615,word2vec
115,0.010306625236363134,2,0.7667870036949581,word2vec
120,0.015697246261634268,2,0.6564291160767163,word2vec
109,0.010797982409517442,2,0.6836577247567025,word2vec
139,0.03579481899083688,2,0.5759097880903616,word2vec
127,0.035561689428865326,4,0.0,word2vec
120,0.01183909128620599,16,0.0,word2vec
109,0.04128422949606696,2,0.5770821108517473,word2vec
130,0.10099198069237063,2,0.4310999150120476,word2vec
114,0.030647824268874926,2,0.6892475192044424,word2vec
104,0.04554122727678025,2,0.579631424176956,word2vec
113,0.03200113098377915,2,0.6897020308042011,word2vec
106,0.09210848943580643,2,0.4310999150120476,word2vec
112,0.0516459232943669,2,0.5805611023378947,word2vec
121,0.02721441925821959,2,0.6917954554661949,word2vec
99,0.013918622202702121,2,0.6731649793851083,word2vec
123,0.010698554162683945,2,0.6956610950851425,word2vec
133,0.05296850859776793,2,0.5780755625949981,word2vec
95,0.08898766261336696,2,0.4275054085432661,word2vec
120,0.03366879237401503,2,0.5783175005051495,word2vec
137,0.02645780474723197,2,0.6881742596621462,word2vec
117,0.06319025022969678,2,0.5795818057072764,word2vec
127,0.010043906500265227,2,0.6902261895630456,word2vec
124,0.010100704354188946,2,0.7489724273116148,word2vec
102,0.0502935371129581,2,0.5781050853722259,word2vec
125,0.010477559893372422,4,0.0,word2vec
108,0.07204230211359207,2,0.4310999150120476,word2vec
92,0.11147896805588521,16,0.0,word2vec
98,0.051375963325876295,2,0.5787748456063125,word2vec
121,0.02894291589149655,2,0.6917954554661949,word2vec
145,0.03759196784228723,2,0.5759097880903616,word2vec
111,0.08016178199105692,2,0.42854770701909534,word2vec
130,0.010406905004265738,2,0.6978585436079708,word2vec
130,0.011185204982454604,2,0.7426215736731778,word2vec
137,0.011436826517216413,8,0.0,word2vec
130,0.062254182007554726,2,0.5792855845365656,word2vec
132,0.04878814543569329,2,0.5780755625949981,word2vec
126,0.010229390281193006,2,0.6923728186358306,word2vec
115,0.09355713734062018,2,0.4310999150120476,word2vec
80,0.03310053772186084,2,0.5849851491954847,word2vec
90,0.06604553575081425,2,0.6297963350911913,word2vec
152,0.042733530442312484,2,0.5740157692850002,word2vec
105,0.029245608273241467,2,0.6888419078131917,word2vec
86,0.05597951528221862,2,0.5845740388692389,word2vec
123,0.02497353515000153,2,0.6936056653265382,word2vec
96,0.0786499253856249,2,0.6278644968454363,word2vec
119,0.04425838549827058,2,0.5795260616014927,word2vec
101,0.2142145324914178,2,0.0,word2vec
134,0.11725625271494401,2,0.4295438792474801,word2vec
125,0.02533662345566427,2,0.6898300348384605,word2vec
117,0.01156712036869297,2,0.7456011090216095,word2vec
115,0.06305074987716454,2,0.5821709151471525,word2vec
109,0.012426252861087929,2,0.7412335343213071,word2vec
106,0.011980031748411047,2,0.682101132510374,word2vec
111,0.027237946943204153,2,0.6934708450896995,word2vec
118,0.047398049682597754,2,0.5812177308114562,word2vec
142,0.024101855354101826,4,0.0,word2vec
128,0.07500826733514412,16,0.0,word2vec
123,0.01413367144089458,2,0.6959959662320684,word2vec
122,0.011029978627072645,2,0.7487757922804023,word2vec
117,0.010971241166090604,2,0.7456011090216095,word2vec
117,0.04421916647449551,2,0.5795818057072764,word2vec
129,0.010095667360041069,2,0.7413032442117393,word2vec
130,0.01330496404992971,2,0.7427348287081509,word2vec
130,0.05729180999046949,2,0.5792855845365656,word2vec
137,0.04099000474393893,8,0.0,word2vec
133,0.026176978064754983,2,0.6906751554659214,word2vec
128,0.013170390137427608,2,0.6916575045859248,word2vec
121,0.32629005577584125,2,0.0,word2vec
125,0.012896772666868402,2,0.7481519458405894,word2vec
114,0.01029824951114213,2,0.7172741189677709,word2vec
114,0.0102954903045334,2,0.7172741189677709,word2vec
113,0.016220044001730702,2,0.6571571580936207,word2vec
124,0.011767435632907892,2,0.7489724273116148,word2vec
119,0.010424316978242976,2,0.692353329032041,word2vec
123,0.05104293323998447,2,0.5814804157200336,word2vec
114,0.0640982680621346,2,0.5764625487098837,word2vec
118,0.041734844936433514,2,0.5812177308114562,word2vec
125,0.44429252245272555,2,0.0,word2vec
130,0.02805223710486872,2,0.6892089748789347,word2vec
126,0.011740561554202448,2,0.6916063337207355,word2vec
133,0.036231996161412164,2,0.5780755625949981,word2vec
116,0.013668517691584357,2,0.745802780715022,word2vec
116,0.010743478364156367,2,0.7697600327309837,word2vec
116,0.010736300823455598,2,0.7697600327309837,word2vec
116,0.011533990412828998,2,0.7697600327309837,word2vec
116,0.012243241756450286,2,0.745802780715022,word2vec
117,0.010436640678971007,2,0.7456011090216095,word2vec
118,0.05763134705325397,2,0.5812177308114562,word2vec
116,0.010263300712622346,2,0.7227873095041628,word2vec
121,0.027290324420436274,2,0.6917954554661949,word2vec
109,0.010452607416904645,2,0.6836577247567025,word2vec
116,0.04186025697944679,2,0.6958057892352921,word2vec
122,0.02864680250920157,2,0.6926253518571708,word2vec
111,0.04532570223223017,2,0.6920095181863852,word2vec
118,0.02638334042875464,4,0.0,word2vec
124,0.010820367476160074,2,0.7489724273116148,word2vec
124,0.0532158128707364,16,0.0,word2vec
44,0.7979847197096666,8,0.0,tfidf
62,0.06298874609332374,4,0.0,tfidf
15,0.20920232731566393,2,0.0,tfidf
43,0.0680188246243553,16,0.0,tfidf
100,0.5094600959400274,2,0.0,tfidf
88,0.07555379000630347,2,0.0,tfidf
43,0.7867158631984377,16,0.0,tfidf
73,0.292881440869382,8,0.0,tfidf
150,0.3803388406377113,8,0.0,tfidf
43,0.3082249203799061,8,0.0,tfidf
145,0.8920831817059045,4,0.0,tfidf
194,0.5662963647051503,4,0.0,tfidf
8,0.6505036827321893,4,0.0,tfidf
68,0.6835710124393006,8,0.0,tfidf
132,0.45659494133514655,4,0.0,tfidf
60,0.02276741918847204,4,0.0,tfidf
26,0.8776099451404563,8,0.0,tfidf
124,0.17795504696552306,16,0.0,tfidf
99,0.459242657372955,8,0.0,tfidf
29,0.6245112086938883,4,0.0,tfidf
78,0.7417409397254637,4,0.0,tfidf
8,0.17340384156032615,2,0.07783509204085882,tfidf
57,0.1490419521123437,2,0.0,tfidf
34,0.12842393421859521,2,0.0,tfidf
6,0.010120519529734001,2,0.3212352711563713,tfidf
7,0.2869983465630902,2,0.033752894092428626,tfidf
5,0.25178793917877584,2,0.14407714465987373,tfidf
23,0.20637194807344605,2,0.0,tfidf
17,0.020409554663626234,2,0.30132060789727066,tfidf
21,0.03832304490725326,2,0.39957363799786816,tfidf
28,0.099461633464184,2,0.0,tfidf
16,0.06421739015134723,2,0.2415388748693384,tfidf
21,0.018557850086673454,2,0.345956678411017,tfidf
50,0.01853476773149285,2,0.44262661883700594,tfidf
54,0.010992665430537367,2,0.49542127662806107,tfidf
50,0.10347242008547207,2,0.0,tfidf
38,0.12455637415146145,2,0.0,tfidf
87,0.07052801149658264,16,0.0,tfidf
49,0.044507759466139205,2,0.09621402323682039,tfidf
54,0.09167378191999642,2,0.0,tfidf
67,0.055389647389298,2,0.45055814242167996,tfidf
68,0.05680973625438713,2,0.45055814242167996,tfidf
80,0.06957155340075526,2,0.0,tfidf
64,0.11546569919103228,2,0.0,tfidf
92,0.15082143280758412,2,0.0,tfidf
110,0.07694276626788518,16,0.0,tfidf
70,0.03715953381375632,2,0.45055814242167996,tfidf
72,0.2008972963410542,2,0.0,tfidf
67,0.05826419671237096,2,0.45055814242167996,tfidf
66,0.14314478912506262,16,0.0,tfidf
82,0.055948378336691015,2,0.0,tfidf
46,0.010180035132838751,2,0.5369478009105153,tfidf
41,0.09859221345584757,2,0.0,tfidf
72,0.057156211795953184,2,0.44881807410916186,tfidf
58,0.012576900247593191,8,0.0,tfidf
106,0.17265320111979984,2,0.0,tfidf
63,0.09728860745654508,2,0.0,tfidf
93,0.06198140368341952,2,0.0,tfidf
192,0.12065722213764223,2,0.0,tfidf
78,0.040515922647426185,8,0.0,tfidf
45,0.2406059118391792,4,0.0,tfidf
71,0.0454042419395904,2,0.44881807410916186,tfidf
73,0.07969934292994177,2,0.45055814242167996,tfidf
35,0.14823056252041297,2,0.0,tfidf
85,0.07929247852536489,2,0.0,tfidf
53,0.01033558344140367,2,0.5088522421006583,tfidf
57,0.03668280996629979,2,0.051415781161407215,tfidf
47,0.017455578013647513,16,0.0,tfidf
54,0.11857818808005584,2,0.0,tfidf
32,0.04911821765596461,2,0.08860621456009404,tfidf
63,0.014171510214126722,4,0.0,tfidf
77,0.08265308443651398,2,0.0,tfidf
67,0.08626827395038156,2,0.0,tfidf
55,0.04031516013415908,2,0.16482231594697364,tfidf
41,0.01087533643354003,2,0.5165218964181573,tfidf
40,0.01290636096442789,2,0.47053806887372557,tfidf
37,0.012955919171980912,8,0.0,tfidf
40,0.031975927873219005,2,0.24808181757838546,tfidf
43,0.1075999581625823,2,0.0,tfidf
30,0.035711133188845806,2,0.30466512613690944,tfidf
48,0.12665739314054258,2,0.0,tfidf
59,0.055953010449169935,2,0.05063057615593022,tfidf
50,0.06373167372075753,2,0.05298539229236265,tfidf
52,0.010428695979876753,2,0.4806079975236113,tfidf
53,0.011263565104367582,2,0.4806807635144549,tfidf
43,0.010472275798026212,2,0.42821704161215846,tfidf
53,0.09207303232314382,2,0.0,tfidf
23,0.035251102889093645,16,0.0,tfidf
61,0.07019583721753392,2,0.0,tfidf
34,0.033422544347430305,4,0.0,tfidf
27,0.011711581525716663,2,0.4267382363186273,tfidf
51,0.05034903568985834,2,0.051415781161407215,tfidf
38,0.03302257144519909,2,0.24024495266959567,tfidf
45,0.10048050406513913,2,0.0,tfidf
59,0.0711715104534793,2,0.05063057615593022,tfidf
65,0.02891232691545075,2,0.23629721428098374,tfidf
69,0.0560044410116492,2,0.45055814242167996,tfidf
164,0.08978511764662991,8,0.0,tfidf
76,0.13497430996365364,2,0.0,tfidf
54,0.011021873076537231,2,0.49542127662806107,tfidf
47,0.051874032744111016,2,0.051415781161407215,tfidf
55,0.023924477373503977,2,0.3468467377904747,tfidf
61,0.07275394687766695,2,0.0,tfidf
41,0.013004755991759839,2,0.4295028842902204,tfidf
52,0.046111752880866205,2,0.17001827630198252,tfidf
57,0.030426548006878138,2,0.20596262740157936,tfidf
68,0.1150602354394972,2,0.0,tfidf
45,0.010030519016855423,16,0.0,tfidf
75,0.07331978809908518,2,0.44616857324510856,tfidf
33,0.05107214079053068,2,0.08575663183963614,tfidf
13,0.10410901114606827,2,0.11945290049138213,tfidf
82,0.06067358712691123,2,0.0,tfidf
64,0.02994663427497798,2,0.23838721512213717,tfidf
69,0.08479187349813305,2,0.45055814242167996,tfidf
53,0.043896935053132156,4,0.0,tfidf
48,0.010028889851267386,2,0.5421604246474292,tfidf
40,0.02569574703810961,2,0.3869810085430794,tfidf
47,0.01077682668232236,2,0.5299949758574752,tfidf
49,0.010425431833641995,8,0.0,tfidf
37,0.06307745543927072,2,0.05376981819330859,tfidf
41,0.02677834678242594,2,0.24814471382857511,tfidf
57,0.04563119969748571,2,0.051415781161407215,tfidf
46,0.027143429387272218,2,0.2835523078593302,tfidf
119,0.010586506415438927,2,0.564205102686527,tfidf
50,0.01058167081352367,2,0.505713926210214,tfidf
113,0.011808582039467972,2,0.4743765634966366,tfidf
117,0.01362375229548791,2,0.5020153053066688,tfidf
117,0.0845953226366727,2,0.0,tfidf
122,0.010047016497993626,2,0.5476555853115636,tfidf
130,0.3650575695614663,2,0.0,tfidf
126,0.04035556834485874,2,0.3845566576871859,tfidf
117,0.015455037345076788,2,0.5714161863457438,tfidf
136,0.03080692860695397,2,0.0,tfidf
122,0.011223125383848663,2,0.5920594791461617,tfidf
120,0.06370836231344153,2,0.0,tfidf
138,0.04463442026487943,2,0.0,tfidf
113,0.029238656321094417,16,0.0,tfidf
120,0.07672220846712918,2,0.0,tfidf
125,0.04509314832355434,2,0.38596079048941695,tfidf
107,0.011315088340414937,4,0.0,tfidf
100,0.027238394529875247,2,0.4372305598319635,tfidf
117,0.011318358718923918,2,0.5216542320590728,tfidf
129,0.05924690526336964,2,0.0,tfidf
121,0.02577170732310019,2,0.40608522209464865,tfidf
116,0.043108154500109325,2,0.40455325105778905,tfidf
106,0.010322160356739036,2,0.47371619118941893,tfidf
95,0.0666787272857192,2,0.0,tfidf
110,0.03107490534031222,2,0.0,tfidf
136,0.09424532459533541,2,0.0,tfidf
122,0.48469855021896924,8,0.0,tfidf
116,0.04557351197833137,2,0.40455325105778905,tfidf
129,0.010111306027256373,2,0.6241509115722372,tfidf
145,0.012220616392891074,2,0.5573720418489082,tfidf
152,0.02780779232970918,2,0.5328450289269973,tfidf
140,0.028842031369398592,2,0.3801506740078562,tfidf
127,0.05413242689106926,2,0.0,tfidf
154,0.02817282291847782,2,0.38983280344091675,tfidf
152,0.0712464960173117,2,0.0,tfidf
157,0.010057084441212819,2,0.6285937061732795,tfidf
159,0.04453293757086453,2,0.0,tfidf
147,0.027271349718760808,2,0.3774484984656533,tfidf
165,0.010145305237473116,2,0.638976722774841,tfidf
171,0.011428992944964123,2,0.6338729621142914,tfidf
165,0.0414403174418674,2,0.0,tfidf
181,0.010185146257652803,2,0.6404039073562547,tfidf
176,0.057221909968193554,2,0.0,tfidf
178,0.24467095231215677,2,0.0,tfidf
173,0.029193077689170104,2,0.378796206587128,tfidf
182,0.01030211227398566,16,0.0,tfidf
169,0.5576837481373185,2,0.0,tfidf
155,0.043065326442684765,2,0.38983280344091675,tfidf
