min_cluster_size,min_samples,tsne_n_components,NMI,embedding
163,33,2,0.7809343853660141,BERT
162,33,2,0.7809343853660141,BERT
164,35,2,0.4416364186394927,BERT
175,33,2,0.7809343853660141,BERT
181,33,2,0.7809343853660141,BERT
161,51,8,0.0,BERT
168,39,2,0.44259254181923324,BERT
174,47,4,0.0,BERT
164,33,2,0.7809343853660141,BERT
187,33,2,0.7809343853660141,BERT
178,37,2,0.4416364186394927,BERT
159,41,2,0.44259254181923324,BERT
180,32,2,0.7841544086562097,BERT
150,32,2,0.7841544086562097,BERT
155,38,2,0.4417443034930789,BERT
150,30,2,0.7852411690392612,BERT
194,43,2,0.4416364186394927,BERT
150,23,2,0.44259254181923324,BERT
135,30,2,0.7852411690392612,BERT
134,30,2,0.7852411690392612,BERT
134,30,2,0.7852411690392612,BERT
135,25,2,0.7640748013140881,BERT
129,30,2,0.7852411690392612,BERT
129,30,2,0.7852411690392612,BERT
128,24,2,0.4416364186394927,BERT
138,29,2,0.7935930824844143,BERT
138,88,16,0.0,BERT
133,29,2,0.7935930824844143,BERT
133,29,2,0.7935930824844143,BERT
132,28,2,0.7800476595417739,BERT
135,37,2,0.4416364186394927,BERT
129,24,2,0.4416364186394927,BERT
138,29,2,0.7935930824844143,BERT
139,29,2,0.7935930824844143,BERT
140,140,2,0.3349883210185851,BERT
137,23,2,0.4135775046047177,BERT
140,26,2,0.4419587988302194,BERT
134,170,2,0.30451455615046114,BERT
142,37,8,0.0,BERT
134,29,2,0.7935930824844143,BERT
133,28,2,0.7800476595417739,BERT
146,29,2,0.7935930824844143,BERT
148,18,2,0.44259254181923324,BERT
144,36,2,0.4416364186394927,BERT
138,24,2,0.4416364186394927,BERT
148,29,2,0.7935930824844143,BERT
155,26,4,0.15787777323317354,BERT
152,20,2,0.7076622010832949,BERT
168,145,4,0.0,word2vec
6,154,2,0.5629337253736041,word2vec
35,181,8,0.0,word2vec
136,76,8,0.0,word2vec
53,138,16,0.0,word2vec
37,144,2,0.5774704219088453,word2vec
148,174,8,0.0,word2vec
8,182,2,0.526481192744263,word2vec
106,22,16,0.0,word2vec
153,173,16,0.0,word2vec
62,98,2,0.6355687384913464,word2vec
67,99,2,0.633116635909611,word2vec
80,89,2,0.6508068453872491,word2vec
88,55,2,0.685038071705593,word2vec
97,52,4,0.0,word2vec
101,39,2,0.6656746398147594,word2vec
117,12,2,0.4161524469191756,word2vec
122,40,2,0.669052361328911,word2vec
187,65,4,0.0,word2vec
126,35,2,0.42973496702070035,word2vec
84,117,2,0.42958659743291183,word2vec
97,43,2,0.6650276321869596,word2vec
112,5,2,0.6968516414549216,word2vec
122,6,2,0.7028038384601133,word2vec
139,9,2,0.6966060646944081,word2vec
163,8,2,0.6792396596892021,word2vec
136,28,8,0.0,word2vec
173,7,4,0.3315699845101909,word2vec
113,18,16,0.0,word2vec
137,26,4,0.165170141750338,word2vec
186,69,2,0.6598763995660467,word2vec
85,55,2,0.685038071705593,word2vec
150,20,2,0.4197856669510262,word2vec
128,5,2,0.6968516414549216,word2vec
129,5,2,0.6968516414549216,word2vec
127,5,8,0.14253489802758434,word2vec
111,29,2,0.42973496702070035,word2vec
167,17,2,0.41382399921767055,word2vec
131,122,8,0.0,word2vec
158,194,16,0.0,word2vec
148,81,2,0.649536407049356,word2vec
142,14,2,0.42213301919560314,word2vec
119,5,2,0.6968516414549216,word2vec
115,32,2,0.42973496702070035,word2vec
105,5,2,0.6968516414549216,word2vec
122,22,2,0.41470447063791255,word2vec
131,50,16,0.0,word2vec
74,17,2,0.41382399921767055,word2vec
96,26,2,0.4280111861022752,word2vec
47,153,8,0.0,word2vec
109,43,4,0.11542135360959573,word2vec
104,5,2,0.6968516414549216,word2vec
119,13,2,0.4238288644589356,word2vec
18,13,2,0.4238288644589356,word2vec
93,5,2,0.6968516414549216,word2vec
104,35,2,0.42973496702070035,word2vec
144,21,2,0.6659564481952563,word2vec
126,13,2,0.4238288644589356,word2vec
90,25,2,0.6723791538776684,word2vec
132,35,16,0.0,word2vec
76,47,2,0.6709680554478131,word2vec
110,5,2,0.6968516414549216,word2vec
101,10,2,0.6888384910194023,word2vec
121,5,2,0.6968516414549216,word2vec
104,19,2,0.41935159235524194,word2vec
115,11,2,0.684295156107375,word2vec
107,30,4,0.15489485727005106,word2vec
125,22,2,0.41470447063791255,word2vec
136,118,2,0.42958659743291183,word2vec
157,14,2,0.42213301919560314,word2vec
118,61,8,0.0,word2vec
95,6,2,0.7028038384601133,word2vec
99,9,2,0.6966060646944081,word2vec
84,17,2,0.41382399921767055,word2vec
92,5,2,0.6968516414549216,word2vec
69,24,2,0.6717422844269666,word2vec
114,105,2,0.6179083072503254,word2vec
130,11,16,0.0,word2vec
103,18,2,0.414490085199862,word2vec
142,130,4,0.0,word2vec
110,30,2,0.42973496702070035,word2vec
96,8,2,0.6792396596892021,word2vec
93,5,2,0.6968516414549216,word2vec
88,16,2,0.6843097530910365,word2vec
78,10,2,0.6888384910194023,word2vec
123,22,2,0.41470447063791255,word2vec
82,15,8,0.0,word2vec
60,5,2,0.6968516414549216,word2vec
106,26,2,0.4280111861022752,word2vec
118,38,2,0.6607443090834801,word2vec
134,10,2,0.6888384910194023,word2vec
111,5,2,0.6968516414549216,word2vec
100,14,2,0.42213301919560314,word2vec
129,9,2,0.6966060646944081,word2vec
108,18,2,0.414490085199862,word2vec
93,21,2,0.6659564481952563,word2vec
115,5,16,0.0,word2vec
123,165,2,0.36464400057369206,word2vec
97,12,4,0.1620070216109113,word2vec
87,16,2,0.6843097530910365,word2vec
140,33,2,0.42973496702070035,word2vec
122,9,2,0.6966060646944081,word2vec
119,5,2,0.6968516414549216,word2vec
112,13,2,0.4238288644589356,word2vec
127,8,2,0.6792396596892021,word2vec
105,19,2,0.41935159235524194,word2vec
120,24,8,0.0,word2vec
108,82,2,0.650815558566202,word2vec
134,9,2,0.6966060646944081,word2vec
113,14,2,0.42213301919560314,word2vec
101,29,2,0.42973496702070035,word2vec
91,6,2,0.7028038384601133,word2vec
96,8,2,0.6792396596892021,word2vec
91,5,2,0.6968516414549216,word2vec
73,12,2,0.4161524469191756,word2vec
145,20,2,0.4197856669510262,word2vec
103,16,2,0.7091565015984955,word2vec
103,14,16,0.0,word2vec
116,17,2,0.41382399921767055,word2vec
94,10,2,0.6888384910194023,word2vec
82,25,4,0.2194110787299606,word2vec
110,5,2,0.6968516414549216,word2vec
100,8,2,0.6792396596892021,word2vec
126,12,2,0.4161524469191756,word2vec
107,16,2,0.7091565015984955,word2vec
88,16,2,0.6843097530910365,word2vec
105,20,2,0.4197856669510262,word2vec
109,11,2,0.684295156107375,word2vec
117,8,2,0.6792396596892021,word2vec
99,15,8,0.0,word2vec
113,22,2,0.41470447063791255,word2vec
121,6,2,0.7028038384601133,word2vec
106,11,2,0.684295156107375,word2vec
129,5,2,0.6968516414549216,word2vec
123,8,2,0.6792396596892021,word2vec
102,103,2,0.6345201856577117,word2vec
117,17,2,0.41382399921767055,word2vec
90,5,2,0.6968516414549216,word2vec
96,12,2,0.4161524469191756,word2vec
112,95,2,0.6316375660285019,word2vec
195,15,16,0.0,word2vec
120,8,2,0.6792396596892021,word2vec
137,5,2,0.6968516414549216,word2vec
132,11,2,0.684295156107375,word2vec
126,5,2,0.6968516414549216,word2vec
122,20,2,0.4197856669510262,word2vec
110,141,2,0.5825564138681486,word2vec
23,13,2,0.4238288644589356,word2vec
106,8,4,0.36017928099375734,word2vec
115,17,2,0.41382399921767055,word2vec
86,10,2,0.6888384910194023,word2vec
93,8,2,0.6792396596892021,word2vec
79,13,2,0.4238288644589356,word2vec
98,5,2,0.6968516414549216,word2vec
90,8,2,0.6792396596892021,word2vec
119,5,2,0.6968516414549216,word2vec
125,15,2,0.4198849636277437,word2vec
107,11,2,0.684295156107375,word2vec
102,19,2,0.41935159235524194,word2vec
93,24,8,0.0,word2vec
130,10,2,0.6888384910194023,word2vec
95,5,2,0.6968516414549216,word2vec
98,5,2,0.6968516414549216,word2vec
90,13,2,0.4238288644589356,word2vec
82,8,2,0.6995824551511118,word2vec
84,70,2,0.664174362249272,word2vec
81,9,2,0.6966060646944081,word2vec
113,15,2,0.4198849636277437,word2vec
104,12,2,0.4161524469191756,word2vec
74,9,2,0.6966060646944081,word2vec
121,18,2,0.414490085199862,word2vec
86,5,2,0.6968516414549216,word2vec
93,5,2,0.6968516414549216,word2vec
109,10,2,0.6888384910194023,word2vec
100,8,2,0.6792396596892021,word2vec
116,14,16,0.0,word2vec
103,5,2,0.6968516414549216,word2vec
125,12,2,0.4161524469191756,word2vec
96,9,4,0.1689320564602561,word2vec
134,16,2,0.7091565015984955,word2vec
138,21,2,0.6659564481952563,word2vec
129,15,2,0.4198849636277437,word2vec
88,8,2,0.6792396596892021,word2vec
119,12,2,0.4161524469191756,word2vec
134,189,2,0.5105924140165785,word2vec
112,5,2,0.6968516414549216,word2vec
69,16,2,0.6843097530910365,word2vec
123,9,2,0.6966060646944081,word2vec
108,5,2,0.6968516414549216,word2vec
99,18,8,0.0,word2vec
133,11,2,0.684295156107375,word2vec
64,5,2,0.6968516414549216,word2vec
46,9,2,0.6889985640912705,word2vec
128,8,2,0.6792396596892021,word2vec
93,13,2,0.4238288644589356,word2vec
46,5,2,0.6968516414549216,word2vec
33,13,2,0.4238288644589356,word2vec
103,9,2,0.6966060646944081,word2vec
115,112,2,0.42973496702070035,word2vec
51,5,2,0.6968516414549216,word2vec
94,59,4,0.0,tfidf
82,169,2,0.35073916263843513,tfidf
65,170,2,0.3511435943558751,tfidf
168,35,8,0.0,tfidf
11,149,4,0.014792771028294295,tfidf
184,23,16,0.0,tfidf
109,146,4,0.0,tfidf
134,149,16,0.0,tfidf
162,111,8,0.0,tfidf
24,69,2,0.5170395580206697,tfidf
14,77,2,0.47584800866547405,tfidf
6,80,2,0.4993268299215166,tfidf
44,102,2,0.4947947093342617,tfidf
48,64,2,0.5245887991134265,tfidf
44,47,2,0.5902563289593474,tfidf
51,9,2,0.5637307010950983,tfidf
50,7,2,0.5094435455525228,tfidf
69,36,16,0.0,tfidf
121,7,8,0.10087425333971871,tfidf
34,50,2,0.5957058300073662,tfidf
30,47,2,0.5902563289593474,tfidf
25,46,2,0.3609931691604316,tfidf
37,90,2,0.45584234105760835,tfidf
67,51,2,0.577743487952909,tfidf
32,117,2,0.434598068893493,tfidf
86,27,2,0.5895360598827614,tfidf
60,47,4,0.0,tfidf
25,87,16,0.0,tfidf
75,25,8,0.0,tfidf
97,60,4,0.0,tfidf
37,57,2,0.5858105221115084,tfidf
135,25,2,0.5531118815493392,tfidf
87,39,2,0.5999682485489857,tfidf
88,47,2,0.5649274182597531,tfidf
56,35,2,0.5882889986101796,tfidf
78,75,2,0.46975652218867675,tfidf
109,183,2,0.3253788208907659,tfidf
16,38,8,0.0,tfidf
39,19,4,0.108298993211768,tfidf
60,134,16,0.0,tfidf
20,56,2,0.5629561000947666,tfidf
92,21,2,0.6092410502959663,tfidf
115,41,2,0.5517063927529151,tfidf
100,16,2,0.6115932542807266,tfidf
128,17,2,0.6252451611767716,tfidf
144,15,2,0.6110815573481879,tfidf
153,15,2,0.6110815573481879,tfidf
154,16,2,0.6115932542807266,tfidf
152,15,4,0.09476547020374965,tfidf
193,30,8,0.0,tfidf
154,14,16,0.0,tfidf
131,14,2,0.575550813015905,tfidf
175,5,2,0.5815245441924076,tfidf
144,20,2,0.6130314087679001,tfidf
144,30,2,0.38925001776851265,tfidf
168,13,2,0.5758138072518723,tfidf
127,21,2,0.6092410502959663,tfidf
140,6,2,0.5507904882973047,tfidf
150,30,2,0.38925001776851265,tfidf
160,17,2,0.6252451611767716,tfidf
166,163,2,0.3788546823897206,tfidf
159,18,2,0.621980407686946,tfidf
176,20,2,0.5663532586903642,tfidf
160,34,2,0.38509732578561534,tfidf
105,11,2,0.6100561367804525,tfidf
122,5,2,0.5815245441924076,tfidf
143,25,16,0.0,tfidf
160,18,8,0.0,tfidf
180,42,2,0.3991304181185371,tfidf
138,33,2,0.39013465331519115,tfidf
128,25,4,0.0,tfidf
148,12,2,0.6112982279853999,tfidf
147,11,2,0.4132684165003573,tfidf
157,20,2,0.6130314087679001,tfidf
157,28,2,0.5518884665429833,tfidf
166,20,2,0.6130314087679001,tfidf
170,22,2,0.6057061819735163,tfidf
164,43,2,0.5400148357877328,tfidf
175,35,2,0.3815489218116231,tfidf
188,111,2,0.4365432209791263,tfidf
171,18,8,0.0,tfidf
158,12,2,0.6112982279853999,tfidf
149,24,2,0.554179949149807,tfidf
136,8,2,0.5847720573600523,tfidf
116,19,2,0.6181945985601208,tfidf
117,18,2,0.649656990744567,tfidf
114,30,16,0.0,tfidf
119,22,2,0.6057061819735163,tfidf
98,195,4,0.0,tfidf
123,51,2,0.577743487952909,tfidf
115,68,2,0.4914525452123167,tfidf
104,17,2,0.6252451611767716,tfidf
107,9,2,0.596106014536123,tfidf
112,18,2,0.649656990744567,tfidf
104,27,2,0.5895360598827614,tfidf
112,19,2,0.6181945985601208,tfidf
113,38,2,0.6025427162144528,tfidf
130,125,2,0.41600505961307055,tfidf
93,32,2,0.5725803685753861,tfidf
118,8,2,0.5847720573600523,tfidf
102,19,2,0.6181945985601208,tfidf
102,18,2,0.649656990744567,tfidf
102,17,2,0.6252451611767716,tfidf
111,16,2,0.6115932542807266,tfidf
103,28,2,0.5518884665429833,tfidf
96,24,2,0.554179949149807,tfidf
82,10,8,0.07820098564352748,tfidf
102,17,16,0.0,tfidf
92,99,2,0.46926644907036696,tfidf
108,38,4,0.0,tfidf
123,5,2,0.5815245441924076,tfidf
111,23,2,0.6056281377780391,tfidf
126,13,2,0.5758138072518723,tfidf
117,19,2,0.6181945985601208,tfidf
98,17,2,0.6252451611767716,tfidf
89,28,2,0.5518884665429833,tfidf
100,16,2,0.6115932542807266,tfidf
81,9,2,0.596106014536123,tfidf
106,13,2,0.5758138072518723,tfidf
97,25,2,0.5531118815493392,tfidf
109,33,2,0.39013465331519115,tfidf
117,19,2,0.6181945985601208,tfidf
133,18,2,0.621980407686946,tfidf
124,22,2,0.6057061819735163,tfidf
132,15,2,0.6110815573481879,tfidf
102,27,2,0.5895360598827614,tfidf
112,5,2,0.5365751273608845,tfidf
89,10,2,0.5763746940005272,tfidf
94,32,8,0.0,tfidf
119,18,2,0.649656990744567,tfidf
134,13,2,0.5758138072518723,tfidf
121,18,2,0.649656990744567,tfidf
120,24,2,0.554179949149807,tfidf
128,17,2,0.6252451611767716,tfidf
125,16,2,0.6115932542807266,tfidf
139,144,16,0.0,tfidf
128,10,2,0.5763746940005272,tfidf
121,22,4,0.0,tfidf
117,27,2,0.5895360598827614,tfidf
131,13,2,0.5758138072518723,tfidf
72,17,2,0.6484555140643279,tfidf
72,17,2,0.6484555140643279,tfidf
106,10,2,0.5763746940005272,tfidf
72,16,2,0.6115932542807266,tfidf
61,21,2,0.6340252517930169,tfidf
59,22,2,0.6315672871400748,tfidf
63,30,2,0.5756111339809817,tfidf
54,24,2,0.5908514816219929,tfidf
59,7,2,0.5094435455525228,tfidf
67,22,2,0.6315672871400748,tfidf
61,23,2,0.5942711245898593,tfidf
66,14,2,0.5764255313796757,tfidf
72,21,2,0.6340252517930169,tfidf
70,27,2,0.5895360598827614,tfidf
78,35,2,0.5882889986101796,tfidf
47,21,2,0.6340252517930169,tfidf
73,21,2,0.6092410502959663,tfidf
39,30,2,0.5756111339809817,tfidf
50,21,2,0.6340252517930169,tfidf
42,25,8,0.0,tfidf
51,22,2,0.6315672871400748,tfidf
48,21,2,0.6340252517930169,tfidf
54,83,2,0.4969842648036044,tfidf
46,22,2,0.6315672871400748,tfidf
48,22,2,0.6315672871400748,tfidf
49,22,2,0.6315672871400748,tfidf
43,30,2,0.5756111339809817,tfidf
47,35,2,0.5882889986101796,tfidf
50,22,2,0.6315672871400748,tfidf
56,27,16,0.0,tfidf
34,21,4,0.10409838439304313,tfidf
47,25,2,0.5531118815493392,tfidf
51,12,2,0.5319939866277121,tfidf
68,21,2,0.6340252517930169,tfidf
67,20,2,0.6130314087679001,tfidf
57,26,2,0.5882314814221131,tfidf
65,31,2,0.39199887032516684,tfidf
77,14,2,0.604696972279261,tfidf
45,21,2,0.6340252517930169,tfidf
62,12,2,0.6112982279853999,tfidf
53,20,2,0.6130314087679001,tfidf
30,23,2,0.502835413243623,tfidf
46,28,2,0.5883578443516324,tfidf
41,19,2,0.6459668723305619,tfidf
40,15,2,0.5273843415241325,tfidf
36,18,2,0.649656990744567,tfidf
69,9,2,0.5637307010950983,tfidf
29,18,2,0.649656990744567,tfidf
36,18,2,0.649656990744567,tfidf
24,17,2,0.6252451611767716,tfidf
29,12,2,0.5098151045957782,tfidf
32,19,2,0.6459668723305619,tfidf
36,18,2,0.649656990744567,tfidf
37,17,2,0.6484555140643279,tfidf
36,15,2,0.5273843415241325,tfidf
36,18,2,0.649656990744567,tfidf
27,7,2,0.5094435455525228,tfidf
20,16,2,0.5250197426751322,tfidf
34,167,8,0.0,tfidf
32,11,2,0.535548280449173,tfidf
194,40,16,0.0,fasttext
174,163,2,0.6167096895714765,fasttext
101,184,2,0.5862442493674346,fasttext
182,94,4,0.0,fasttext
93,57,16,0.0,fasttext
54,91,2,0.691879866968671,fasttext
6,125,8,0.0,fasttext
119,132,2,0.6513151495012826,fasttext
182,46,16,0.0,fasttext
169,154,4,0.0,fasttext
30,5,8,0.24588518228743586,fasttext
84,107,2,0.6735941716085818,fasttext
55,92,2,0.7040154607793475,fasttext
55,80,2,0.7093151222853796,fasttext
63,62,2,0.7226551944198042,fasttext
64,72,2,0.712479076918046,fasttext
132,14,2,0.7215469044740104,fasttext
140,6,4,0.43690297769725184,fasttext
141,30,8,0.0,fasttext
125,23,2,0.6925561745905169,fasttext
154,56,2,0.7233299961963059,fasttext
154,49,2,0.7268660899572412,fasttext
157,64,2,0.7146511108194626,fasttext
155,51,2,0.7261495913715552,fasttext
153,47,2,0.7287496015054561,fasttext
114,38,2,0.7224696691436648,fasttext
154,49,16,0.0,fasttext
195,27,8,0.0,fasttext
145,109,4,0.0,fasttext
165,81,16,0.0,fasttext
110,42,2,0.7311449743334327,fasttext
105,40,2,0.7004780912961062,fasttext
131,35,2,0.7357793883653346,fasttext
126,35,2,0.7357793883653346,fasttext
111,20,2,0.709341084277111,fasttext
87,36,2,0.7316043680126686,fasttext
86,35,2,0.7357793883653346,fasttext
86,31,4,0.1450671779646649,fasttext
78,184,2,0.5862442493674346,fasttext
97,15,16,0.0,fasttext
71,33,2,0.7307894250489142,fasttext
126,39,2,0.7229137983011985,fasttext
102,72,2,0.712479076918046,fasttext
88,17,2,0.7055192477962438,fasttext
110,65,8,0.0,fasttext
122,38,2,0.7224696691436648,fasttext
93,168,2,0.6067719830260805,fasttext
43,132,2,0.6513151495012826,fasttext
73,8,2,0.7201897013796926,fasttext
133,56,4,0.0,fasttext
116,24,16,0.0,fasttext
68,33,2,0.7307894250489142,fasttext
78,195,2,0.5936241816914084,fasttext
41,40,2,0.7004780912961062,fasttext
105,31,2,0.7144291543633605,fasttext
93,10,2,0.42605493438078584,fasttext
134,25,8,0.0,fasttext
60,56,2,0.7233299961963059,fasttext
81,71,2,0.7184927252578949,fasttext
98,46,2,0.7255661909641424,fasttext
70,84,2,0.7117827924460605,fasttext
71,32,2,0.7283765164548232,fasttext
52,33,2,0.7307894250489142,fasttext
89,44,2,0.7301010998808712,fasttext
7,13,2,0.7330170050966575,fasttext
12,21,2,0.7273864672534036,fasttext
13,16,4,0.3144066755366707,fasttext
23,5,2,0.46714607618986964,fasttext
129,26,8,0.0,fasttext
120,52,2,0.7235152135735402,fasttext
144,44,16,0.0,fasttext
45,35,2,0.7357793883653346,fasttext
33,19,2,0.7178713889928743,fasttext
46,13,2,0.7242806093263271,fasttext
32,61,2,0.7215262255870275,fasttext
22,36,2,0.7316043680126686,fasttext
20,38,2,0.7224696691436648,fasttext
10,117,2,0.6516275289591806,fasttext
28,27,2,0.7328379945735507,fasttext
24,11,2,0.7204661191514983,fasttext
7,27,4,0.2764911260507895,fasttext
18,35,2,0.7357793883653346,fasttext
16,37,2,0.7232482071683962,fasttext
28,51,2,0.7261495913715552,fasttext
5,22,2,0.7136514864699225,fasttext
36,28,2,0.7126685105362668,fasttext
20,35,2,0.7357793883653346,fasttext
17,44,16,0.0,fasttext
27,20,8,0.08053816189174705,fasttext
177,29,2,0.7142009319564865,fasttext
50,53,2,0.7247928814178968,fasttext
39,35,2,0.7357793883653346,fasttext
39,35,2,0.7357793883653346,fasttext
40,47,2,0.7287496015054561,fasttext
37,60,2,0.714956928297876,fasttext
48,99,2,0.6838442027500894,fasttext
57,34,2,0.7337960255729059,fasttext
59,42,2,0.7311449743334327,fasttext
55,66,2,0.710818262246807,fasttext
44,34,2,0.7337960255729059,fasttext
42,33,4,0.23827180369745107,fasttext
45,41,2,0.6990558071449228,fasttext
36,23,2,0.6925561745905169,fasttext
16,36,2,0.7316043680126686,fasttext
65,148,2,0.6456572076390099,fasttext
136,35,2,0.7357793883653346,fasttext
138,48,2,0.7274804287503119,fasttext
150,34,2,0.7337960255729059,fasttext
165,30,16,0.0,fasttext
125,40,2,0.7004780912961062,fasttext
138,45,8,0.0,fasttext
143,34,2,0.7337960255729059,fasttext
152,35,2,0.7357793883653346,fasttext
150,30,2,0.7145995334657881,fasttext
160,54,2,0.7246696784454378,fasttext
57,49,2,0.7268660899572412,fasttext
129,25,2,0.7189509073705881,fasttext
186,40,2,0.7004780912961062,fasttext
115,43,2,0.7295088744315807,fasttext
33,17,2,0.7055192477962438,fasttext
51,23,2,0.6925561745905169,fasttext
152,34,2,0.7337960255729059,fasttext
157,36,2,0.7316043680126686,fasttext
147,29,2,0.7142009319564865,fasttext
134,37,2,0.7232482071683962,fasttext
147,33,2,0.7307894250489142,fasttext
38,26,2,0.717289227264474,fasttext
46,40,4,0.2621073813454996,fasttext
140,47,2,0.7287496015054561,fasttext
161,19,2,0.7178713889928743,fasttext
76,31,2,0.7144291543633605,fasttext
171,35,2,0.7357793883653346,fasttext
172,35,2,0.7357793883653346,fasttext
166,42,2,0.7311449743334327,fasttext
172,38,2,0.7224696691436648,fasttext
