min_cluster_size,min_samples,tsne_n_components,NMI,embedding
187,30,2,0.7145995334657881,fasttext
177,50,16,0.0,fasttext
169,23,8,0.0,fasttext
62,45,2,0.7287447971582929,fasttext
182,27,2,0.7227522547643822,fasttext
26,37,2,0.7232482071683962,fasttext
122,34,2,0.7337960255729059,fasttext
133,35,2,0.7357793883653346,fasttext
129,40,2,0.7004780912961062,fasttext
119,27,2,0.7227522547643822,fasttext
136,31,2,0.7144291543633605,fasttext
31,42,2,0.7311449743334327,fasttext
20,37,2,0.7232482071683962,fasttext
105,33,2,0.7307894250489142,fasttext
54,58,2,0.7254371867776981,fasttext
42,45,2,0.7287447971582929,fasttext
129,35,2,0.7357793883653346,fasttext
126,36,2,0.7316043680126686,fasttext
130,29,2,0.7142009319564865,fasttext
111,23,2,0.6925561745905169,fasttext
123,43,2,0.7295088744315807,fasttext
133,39,2,0.7229137983011985,fasttext
173,33,4,0.0,fasttext
142,26,2,0.717289227264474,fasttext
35,20,2,0.709341084277111,fasttext
49,36,2,0.7316043680126686,fasttext
149,33,2,0.7307894250489142,fasttext
162,30,2,0.7145995334657881,fasttext
137,39,2,0.7229137983011985,fasttext
126,35,2,0.7357793883653346,fasttext
117,48,2,0.7274804287503119,fasttext
128,42,16,0.0,fasttext
132,29,2,0.7142009319564865,fasttext
125,38,8,0.0,fasttext
191,32,2,0.7283765164548232,fasttext
38,131,2,0.6535174802289863,fasttext
144,33,2,0.7307894250489142,fasttext
180,37,2,0.7232482071683962,fasttext
83,25,2,0.7189509073705881,fasttext
169,34,2,0.7337960255729059,fasttext
11,89,2,0.6923866217036395,fasttext
157,42,2,0.7311449743334327,fasttext
45,35,2,0.7357793883653346,fasttext
46,46,2,0.7255661909641424,fasttext
42,30,2,0.7145995334657881,fasttext
51,40,2,0.7004780912961062,fasttext
133,37,2,0.7232482071683962,fasttext
140,35,2,0.7357793883653346,fasttext
139,27,2,0.7227522547643822,fasttext
30,35,2,0.7357793883653346,fasttext
26,36,2,0.7316043680126686,fasttext
122,43,2,0.7295088744315807,fasttext
30,28,2,0.7126685105362668,fasttext
136,40,2,0.7004780912961062,fasttext
130,31,2,0.7144291543633605,fasttext
40,50,2,0.7259193551585481,fasttext
46,35,2,0.7357793883653346,fasttext
18,35,2,0.7357793883653346,fasttext
18,36,2,0.7316043680126686,fasttext
14,39,4,0.23208010244138755,fasttext
21,32,2,0.7283765164548232,fasttext
30,24,2,0.6912430631530327,fasttext
21,44,2,0.7301010998808712,fasttext
36,35,2,0.7357793883653346,fasttext
24,29,2,0.7142009319564865,fasttext
