min_cluster_size,rho,beta,tsne_n_components,NMI,embedding
83,1.7299306333257043,0.5096837203602576,4,0.6442988410094596,BERT
79,1.1495113232810124,0.5645576200790132,16,0.18703781088054652,BERT
63,1.534169738567128,0.4859822408124239,2,0.6916173562205195,BERT
82,1.5355447964771134,0.5439527071085966,4,0.6986937827860901,BERT
107,1.8253407594309363,0.5451221741794475,4,0.6547036376771697,BERT
22,1.9656105504002412,0.5626119166363748,4,0.45414312725237543,BERT
89,1.7177216485494495,0.5207556650651811,4,0.7207298431106547,BERT
135,1.6979051133979755,0.5176205018410497,4,0.736738550662318,BERT
134,1.7227645383633792,0.5105395993959575,4,0.7354308038583086,BERT
141,1.7171355820047234,0.4422431062616009,4,0.7174943339416877,BERT
130,1.813884979705722,0.5007425171195766,4,0.7022996273260321,BERT
119,1.6295307659584426,0.48384968107696164,4,0.7680476158115521,BERT
156,1.4533743753726136,0.3523406992511483,4,0.3937949963412087,BERT
128,1.65831567137154,0.4811966348115878,4,0.7543380170875454,BERT
118,1.6388119944557398,0.47810987140127065,4,0.7533583444428803,BERT
117,1.6818425860674342,0.4753239651384316,4,0.7653471910358463,BERT
117,1.9394878841146972,0.46461810792624264,16,0.3118469147537142,BERT
120,1.6360802337367457,0.4783556428713815,4,0.7233092868893525,BERT
156,1.9909647026545783,0.44846302447128605,4,0.6897903278549066,BERT
114,1.4653625906481669,0.48709326346897985,4,0.7423128076071919,BERT
116,1.4441351442500865,0.4778716691858739,8,0.018829253390328607,BERT
128,1.8310890935205189,0.42885446468866095,4,0.6502513622672215,BERT
114,1.6477659804183773,0.4638060934159058,16,0.3064824579869792,BERT
139,1.4847231504022358,0.49012921823257716,4,0.4130868694525569,BERT
126,1.6243774621580453,0.5285449575933128,4,0.7284967639178778,BERT
149,1.8686070109360415,0.49285788471607334,4,0.6969846405587093,BERT
100,1.749095694466119,0.44119590470583225,4,0.756442928018968,BERT
98,1.8093769114960112,0.43738406025016274,4,0.6477196303013757,BERT
112,1.5961265376430804,0.41767979397936333,4,0.7451033334835646,BERT
91,1.7629869368119764,0.3872572397650142,8,0.3825172573748608,BERT
122,1.8970051210597259,0.4575579206549709,4,0.6913625776554927,BERT
101,1.5917261848247544,0.41309896079650904,4,0.7467067954275471,BERT
102,1.6326565921161107,0.4403608246128939,4,0.7447022245263107,BERT
111,1.5820360864310896,0.4170622158628041,4,0.7463129201259824,BERT
100,1.5114119318391535,0.4133000448290671,4,0.7664901124087191,BERT
101,1.6713786522370302,0.4698745077642966,4,0.7241112604758793,BERT
90,1.7614125454618867,0.40196684732664517,4,0.6922211482772221,BERT
71,1.5001100553384064,0.3789428299203036,4,0.730726566554793,BERT
95,1.5616331055515225,0.42939275313554925,4,0.7403456736831141,BERT
122,1.2716881278591075,0.45314306951716,16,0.039683775255177696,BERT
107,1.6836358615379559,0.40851961672008863,4,0.7346797696952724,BERT
147,1.3966948283208191,0.43317425977148954,8,0.03029168580563948,BERT
73,1.5072873070174075,0.4695042026659405,4,0.7601545558109459,BERT
73,1.4920055429601524,0.4686085069624683,4,0.7725582379249145,BERT
59,1.5133846217842677,0.47809095411963265,4,0.7046896760702337,BERT
74,1.398010717728189,0.501911168551671,4,0.7640761321254004,BERT
68,1.3735771264114776,0.4996382762408467,2,0.7461781117532893,BERT
74,1.429480832895869,0.45370235012058996,4,0.7359625770697265,BERT
86,1.5254707586574783,0.5283026447856527,4,0.7597667389030578,BERT
76,1.5378951972953696,0.5237124397747722,4,0.7652672224027481,BERT
50,1.326857863443229,0.5284816015945387,4,0.7335698302142571,BERT
76,1.5276092235188405,0.5069630368163368,4,0.7399585175605273,BERT
85,1.4225724453799147,0.5354312774343433,16,0.23505553352766137,BERT
58,1.511182367946096,0.5173901488408768,4,0.6927079939325567,BERT
63,1.4804406338598146,0.49837995217283393,4,0.7253989296864763,BERT
88,1.5716644800832145,0.4668292787106855,4,0.7336869838796156,BERT
77,1.3816162642725502,0.5453591208777979,4,0.6632890528078187,BERT
93,1.5971309980792854,0.5826704297596791,4,0.6967897536262804,BERT
86,1.3157073781192794,0.5232549111571064,2,0.7385392297542552,BERT
72,1.7710754035600602,0.503738989050269,4,0.6052443667764082,BERT
55,1.7018900455272508,0.4472387236404898,4,0.5970396691593634,BERT
63,1.4853317094511658,0.4874174464752781,4,0.7233941486647548,BERT
80,1.4154142803298215,0.46726721647710007,4,0.7434143527222637,BERT
95,1.6554868786978358,0.4847186130712985,4,0.7403258003418436,BERT
67,1.5483132367110126,0.5130467318382259,4,0.7501493036627895,BERT
134,1.6625415405839765,0.45888832376992783,4,0.7574173348284264,BERT
134,1.613102808706814,0.4548347590753472,4,0.7435119587272926,BERT
104,1.4553206484442054,0.4718479297818184,8,0.3512507658721455,BERT
85,1.5316504125923878,0.49206358314902887,4,0.7423212981054507,BERT
75,1.6681651008967537,0.446312427148966,4,0.6673832866772842,BERT
98,1.7376212006699936,0.4605820859758757,4,0.7377651318393423,BERT
78,1.607735968894945,0.42830276336628037,4,0.6873801690139433,BERT
47,1.6886563640419314,0.4398896438814025,4,0.5766843633249749,BERT
109,1.5478634343812878,0.479286491815355,4,0.7456962619533611,BERT
128,1.6391453587517726,0.505876308990673,4,0.7519278766088378,BERT
139,1.7818377154370968,0.4948769124964384,4,0.7289073684741204,BERT
125,1.713661141330566,0.47310435224141867,4,0.6612802266357374,BERT
119,1.5848720910890313,0.48345042238564356,4,0.7205798955942694,BERT
70,1.4756672866075713,0.45919479557251414,16,0.2991636995651549,BERT
132,1.6645278272165525,0.5217378985275625,2,0.7484394447824284,BERT
82,1.7387272908412659,0.5316565089003555,4,0.6306171875447847,BERT
8,1.4517469809776782,0.5139778152715228,4,0.41775662985056405,BERT
144,1.856570563030831,0.49672220579511533,8,0.3516531053490335,BERT
116,1.6209776367954827,0.47721126972371036,4,0.721803766586094,BERT
111,1.5165812700338652,0.466994708309134,4,0.7347084256705221,BERT
124,1.5736814975266915,0.4865624066598607,4,0.721282199922672,BERT
98,1.792824021409394,0.4480781211079868,4,0.6961194434075684,BERT
119,1.6470152340245672,0.4349690968794145,4,0.7199537183786309,BERT
155,1.6952886987318971,0.4592213362895308,4,0.6940340674522122,BERT
136,1.555489763431053,0.5015741538518057,4,0.6462264638514977,BERT
130,1.503722422683028,0.422090677407399,4,0.7100495635237708,BERT
90,1.7433063226296595,0.47186913552317206,4,0.703103435985499,BERT
105,1.3739696783530482,0.5103395162060269,4,0.406305091382202,BERT
127,1.606926075495406,0.5081189475033412,4,0.7540452466108968,BERT
115,1.6055790329603181,0.5531776564540376,4,0.7556765795139079,BERT
114,1.6019940797806813,0.5304617749271805,4,0.7531829224147442,BERT
65,1.550843967525169,0.5501503075246985,4,0.6963776286958634,BERT
122,1.6672052881005213,0.5394352372772613,4,0.7350541493120674,BERT
127,1.4538829497605845,0.557453214930324,16,0.20755389960767134,BERT
73,1.5148596922037982,0.5216728991682049,4,0.736035443439605,BERT
109,1.6233751276231319,0.5373542092866198,4,0.7377426475985709,BERT
167,1.4119044363615905,0.4885427715057633,2,0.6951326447943285,BERT
85,1.5832804588898968,0.5063707766081145,4,0.7257332435800825,BERT
118,1.7035465953980686,0.47844664268357895,4,0.7645679261993071,BERT
132,1.702362280801322,0.49304480893415414,4,0.7459832829291143,BERT
138,1.8287663856655336,0.4536201939742718,4,0.6299223404653582,BERT
114,1.7741943164401914,0.4800756200682536,4,0.7510414995071548,BERT
121,1.6687852143799635,0.46655837147081564,4,0.7470580485080617,BERT
144,1.7228267706074403,0.4435284424921587,4,0.7066789313863977,BERT
103,1.492108577087386,0.5144203473704783,4,0.758577106092949,BERT
104,1.4872395135273186,0.5495052651668075,8,0.2506338251343444,BERT
101,1.4240499809053802,0.5260370442821568,4,0.7443896414669239,BERT
93,1.5341125908257367,0.5763519868439245,4,0.7394323146616283,BERT
110,1.6087677579299295,0.516670584728302,4,0.708731578569628,BERT
116,1.5648489240555015,0.4954830842142687,4,0.7194706490645065,BERT
125,1.478503137732551,0.5054405886633274,4,0.7525420801933705,BERT
78,1.6322557713151338,0.4765388266000404,4,0.7007776528654484,BERT
