n_clusters,epsilon,tsne_n_components,NMI,embedding
4,0.12141529813316032,4,0.0,word2vec
4,0.1487387473300299,4,0.0,word2vec
4,0.062286351549778074,4,0.0,word2vec
4,0.4022339343295693,4,0.0,word2vec
4,0.342676710321596,2,0.0,word2vec
4,0.012639603823733934,4,0.0,word2vec
4,0.27289814115650857,8,0.0,word2vec
4,0.513061573145419,16,0.0,word2vec
4,0.630688855123487,2,0.0,word2vec
4,0.6789338241056497,8,0.0,word2vec
4,0.30431835273940994,16,0.0,word2vec
4,0.34846195316852346,16,0.0,word2vec
4,0.25250040983571803,16,0.0,word2vec
4,0.4652860969542986,16,0.0,word2vec
4,0.5304398225792004,16,0.0,word2vec
4,0.4238071760989674,2,0.0,word2vec
4,0.7614328790592373,4,0.0,word2vec
4,0.5895149521219624,8,0.0,word2vec
4,0.7061278772840855,16,0.0,word2vec
4,0.48755305784048847,2,0.0,word2vec
4,0.3186969578245588,2,0.0,word2vec
4,0.8758336647526126,2,0.0,word2vec
4,0.3937018900391938,2,0.0,word2vec
4,0.3749043199765064,2,0.0,word2vec
4,0.8160302660056203,16,0.0,word2vec
4,0.6527568321043226,8,0.0,word2vec
4,0.28319986449257584,2,0.0,word2vec
4,0.3456007579190058,4,0.0,word2vec
4,0.22973132121301434,16,0.0,word2vec
4,0.8500467471530044,2,0.0,word2vec
4,0.7826406425207557,16,0.0,word2vec
4,0.5716194409356359,16,0.0,word2vec
4,0.4244265128251305,16,0.0,word2vec
4,0.6921534842441047,16,0.0,word2vec
4,0.6096399297267177,8,0.0,word2vec
4,0.9095050561660394,16,0.0,word2vec
4,0.7364647992760233,2,0.0,word2vec
4,0.5398355076924636,4,0.0,word2vec
4,0.4634721942103153,8,0.0,word2vec
4,0.7978746025887257,16,0.0,word2vec
4,0.2601711600218703,2,0.0,word2vec
4,0.27960530124763217,2,0.0,word2vec
4,0.21661201258262458,2,0.0,word2vec
4,0.23650729195830386,2,0.0,word2vec
4,0.1968178109582382,2,0.0,word2vec
4,0.6678876909671485,16,0.0,word2vec
4,0.29300288284985343,8,0.0,word2vec
4,0.8248356134919967,4,0.0,word2vec
4,0.3056656343227174,2,0.0,word2vec
4,0.7150872569021514,16,0.0,word2vec
4,0.503538429854525,4,0.0,word2vec
4,0.18752851351689356,4,0.0,word2vec
4,0.3601661360873428,4,0.0,word2vec
4,0.47874568000632356,4,0.0,word2vec
4,0.3182803107444797,2,0.0,word2vec
4,0.44935095086266685,8,0.0,word2vec
4,0.9443558413639693,16,0.0,word2vec
4,0.8856468238853134,4,0.0,word2vec
4,0.7631150589390387,2,0.0,word2vec
4,0.5214277771021855,16,0.0,word2vec
4,0.6206264259249752,16,0.0,word2vec
4,0.645598761392497,16,0.0,word2vec
4,0.0349564352804788,16,0.0,word2vec
4,0.06781086782933342,16,0.0,word2vec
4,0.5422873459514781,8,0.0,word2vec
4,0.8574797668555498,2,0.0,word2vec
4,0.2600105744258327,16,0.0,word2vec
4,0.15483033192551515,4,0.0,word2vec
4,0.38290753032207114,2,0.0,word2vec
4,0.5822955975435389,16,0.0,word2vec
4,0.3278722339210984,2,0.0,word2vec
4,0.3625677671577071,2,0.0,word2vec
4,0.6875820823146479,2,0.0,word2vec
4,0.9243100492942203,2,0.0,word2vec
4,0.9642918506663897,8,0.0,word2vec
4,0.4138751855706046,2,0.0,word2vec
4,0.43652808949842486,16,0.0,word2vec
4,0.8309524360552253,4,0.0,word2vec
4,0.3968225309506588,2,0.0,word2vec
4,0.8967868386940042,2,0.0,tfidf
4,0.15124240949004214,2,0.0,tfidf
4,0.8716505904354709,16,0.0,tfidf
4,0.3746771977204406,16,0.0,tfidf
4,0.9713348799413154,4,0.0,tfidf
4,0.6851073762661917,16,0.0,tfidf
4,0.1824254347984742,8,0.0,tfidf
4,0.9293658118770317,2,0.0,tfidf
4,0.04841265948767687,8,0.0,tfidf
4,0.21626692813356949,16,0.0,tfidf
4,0.6382125820452194,2,0.0,tfidf
4,0.4667839679335119,2,0.0,tfidf
4,0.7381158822827274,2,0.0,tfidf
4,0.5315719006118557,2,0.0,tfidf
4,0.7835926756521823,4,0.0,tfidf
4,0.987822711737176,2,0.0,tfidf
4,0.8190820300496781,2,0.0,tfidf
4,0.5838769590753576,2,0.0,tfidf
4,0.3894087795140281,8,0.0,tfidf
4,0.6738106501324828,4,0.0,tfidf
4,0.864981424427906,2,0.0,tfidf
4,0.8152923132709502,16,0.0,tfidf
4,0.9056016378957967,16,0.0,tfidf
4,0.8636670157789876,16,0.0,tfidf
4,0.7369550356267301,2,0.0,tfidf
4,0.9106204181018737,16,0.0,tfidf
4,0.581560977048267,8,0.0,tfidf
4,0.983877864403338,4,0.0,tfidf
4,0.7663302943733726,2,0.0,tfidf
4,0.42251631987684035,16,0.0,tfidf
4,0.32194701983156754,16,0.0,tfidf
4,0.33490543601222456,16,0.0,tfidf
4,0.484390954438289,16,0.0,tfidf
4,0.6895861256377402,16,0.0,tfidf
4,0.9944344349042227,4,0.0,tfidf
4,0.0850242348119436,16,0.0,tfidf
4,0.1795574474011996,8,0.0,tfidf
4,0.9374626108280111,2,0.0,tfidf
4,0.011042162986259318,16,0.0,tfidf
4,0.24515141241514843,2,0.0,tfidf
4,0.12304792083856125,8,0.0,tfidf
4,0.8601655271973333,4,0.0,tfidf
4,0.96161029350515,4,0.0,tfidf
4,0.8943254985650402,4,0.0,tfidf
4,0.9477287259678878,2,0.0,tfidf
4,0.5153341958017162,4,0.0,tfidf
4,0.8338195935646826,2,0.0,tfidf
4,0.9353279957064274,2,0.0,tfidf
4,0.786955092866825,4,0.0,tfidf
4,0.9976181445869277,16,0.0,tfidf
4,0.8868871688396597,2,0.0,tfidf
4,0.7210650921527614,16,0.0,tfidf
4,0.8301226817830871,16,0.0,tfidf
4,0.6571382569889465,16,0.0,tfidf
4,0.5616015734758804,16,0.0,tfidf
4,0.6258836975809174,2,0.0,tfidf
4,0.9075800469756213,8,0.0,tfidf
4,0.7820372240783887,16,0.0,tfidf
4,0.7111092410090112,2,0.0,tfidf
4,0.7530884403729381,4,0.0,tfidf
4,0.6219707930385183,16,0.0,tfidf
4,0.21293021734544057,8,0.0,tfidf
4,0.4368187266792408,8,0.0,tfidf
4,0.8649524066662494,8,0.0,tfidf
4,0.80997455659002,8,0.0,tfidf
4,0.9330722702035201,16,0.0,tfidf
4,0.9662261542282589,2,0.0,tfidf
4,0.15666203146639734,16,0.0,tfidf
4,0.2585918012484034,8,0.0,tfidf
4,0.07255996760228188,2,0.0,tfidf
4,0.32681013025225314,4,0.0,tfidf
4,0.9093091287196875,2,0.0,tfidf
4,0.9622515719240695,2,0.0,tfidf
4,0.8807285620614008,2,0.0,tfidf
4,0.9790799928724365,2,0.0,tfidf
4,0.8436153215317163,16,0.0,tfidf
4,0.9374171130516423,2,0.0,tfidf
4,0.478929889446455,4,0.0,tfidf
4,0.8130269554417695,16,0.0,tfidf
4,0.855358599181399,2,0.0,tfidf
4,0.8940713584297068,8,0.0,tfidf
4,0.36183450968530373,8,0.0,tfidf
4,0.02099425494090092,8,0.0,tfidf
4,0.9203281284392552,8,0.0,tfidf
4,0.9953942112224022,16,0.0,tfidf
4,0.10947211767171322,4,0.0,tfidf
4,0.295957475700324,8,0.0,tfidf
4,0.17455531787000478,16,0.0,tfidf
4,0.9494269659327916,2,0.0,tfidf
4,0.8825778082833351,16,0.0,tfidf
4,0.5206814372178377,2,0.0,tfidf
4,0.2160814248908217,16,0.0,tfidf
4,0.15006426781546597,16,0.0,tfidf
4,0.4070319370240475,16,0.0,tfidf
4,0.9145286880681162,16,0.0,tfidf
4,0.45433965630690887,4,0.0,tfidf
4,0.19813551656604378,8,0.0,tfidf
4,0.9747687303078169,16,0.0,tfidf
4,0.13592351632697144,2,0.0,tfidf
4,0.2642980050485835,16,0.0,tfidf
4,0.1714512408152244,8,0.0,tfidf
4,0.548474661196099,2,0.0,tfidf
4,0.7393456636993812,2,0.0,tfidf
4,0.4972382161302476,2,0.0,tfidf
4,0.7752340103680324,2,0.0,tfidf
4,0.6728285110366994,4,0.0,tfidf
4,0.791571806002786,2,0.0,tfidf
4,0.615023320137986,16,0.0,tfidf
4,0.7018040504771964,2,0.0,tfidf
4,0.8319721494058904,16,0.0,tfidf
4,0.8511073584789571,8,0.0,tfidf
4,0.5404583542312466,2,0.0,tfidf
4,0.561448407637118,2,0.0,tfidf
4,0.5905347022838163,2,0.0,tfidf
4,0.37775115455155267,2,0.0,tfidf
4,0.9484652092489331,4,0.0,tfidf
4,0.09941740713569447,2,0.0,tfidf
4,0.8745905468465116,16,0.0,tfidf
4,0.06979179068046434,8,0.0,tfidf
4,0.46880274955082757,2,0.0,tfidf
4,0.7550503246981275,16,0.0,tfidf
4,0.686374278171897,2,0.0,tfidf
4,0.7214855792687486,2,0.0,tfidf
4,0.9241553972701425,2,0.0,tfidf
4,0.6571285871478716,2,0.0,tfidf
4,0.19904148139135724,4,0.0,tfidf
4,0.8943738050660885,2,0.0,tfidf
4,0.4107739350515204,8,0.0,tfidf
4,0.13512255966199593,16,0.0,tfidf
4,0.23079059704816296,2,0.0,tfidf
4,0.34819772650085395,16,0.0,tfidf
4,0.30556639908445404,2,0.0,tfidf
4,0.44867769725334994,2,0.0,tfidf
4,0.49568279609751287,2,0.0,tfidf
4,0.4302608266649357,2,0.0,tfidf
4,0.5253788164255385,8,0.0,tfidf
4,0.64511363610642,2,0.0,tfidf
4,0.965243187408239,16,0.0,tfidf
4,0.6097533744296408,4,0.0,tfidf
4,0.15586722126888616,2,0.0,tfidf
4,0.26654970030545355,16,0.0,tfidf
4,0.7186230323770149,4,0.0,tfidf
4,0.8043404100512022,4,0.0,tfidf
4,0.19331805797137713,4,0.0,tfidf
4,0.7394083371461991,4,0.0,tfidf
4,0.7707214470212321,8,0.0,tfidf
4,0.40135764933680373,2,0.0,tfidf
4,0.05213977504043902,16,0.0,tfidf
4,0.12502047771000882,2,0.0,tfidf
4,0.3802926708008861,2,0.0,tfidf
4,0.6992555419965232,4,0.0,tfidf
4,0.9482176649893892,2,0.0,tfidf
4,0.9732524836799346,2,0.0,tfidf
4,0.9949804071676591,2,0.0,tfidf
4,0.10815430498883732,8,0.0,tfidf
4,0.9271249182519808,16,0.0,tfidf
4,0.17459057979291337,2,0.0,tfidf
4,0.9002795500253141,2,0.0,tfidf
4,0.8442882302695222,16,0.0,tfidf
4,0.23975490012688558,2,0.0,tfidf
4,0.4675533777558744,4,0.0,tfidf
4,0.14347979491592333,2,0.0,tfidf
4,0.5072990030947505,2,0.0,tfidf
4,0.8672608718193308,2,0.0,tfidf
4,0.8156245365152354,2,0.0,tfidf
4,0.2183473021742784,8,0.0,tfidf
4,0.5912252094271907,2,0.0,tfidf
4,0.09599926138624355,16,0.0,tfidf
4,0.03657714618398718,2,0.0,tfidf
4,0.0744477143461722,16,0.0,tfidf
4,0.1196196753028833,2,0.0,tfidf
4,0.6320995379873126,2,0.0,tfidf
4,0.6724603513429555,2,0.0,tfidf
4,0.3427848805369293,2,0.0,tfidf
4,0.5688197061163424,2,0.0,tfidf
4,0.0185405290615271,8,0.0,tfidf
4,0.2779957848179909,4,0.0,tfidf
4,0.5395151998675256,2,0.0,tfidf
4,0.1738862755726041,16,0.0,tfidf
4,0.49034327331497407,2,0.0,tfidf
4,0.910548040847727,2,0.0,tfidf
4,0.4259762169308176,8,0.0,tfidf
4,0.7881534520338508,8,0.0,tfidf
4,0.1935626688029426,8,0.0,tfidf
4,0.44387391331986586,8,0.0,tfidf
4,0.3110086331773728,8,0.0,tfidf
4,0.322398899802098,16,0.0,tfidf
4,0.25221142838578503,4,0.0,tfidf
4,0.28036060400644247,2,0.0,tfidf
4,0.2247885522101576,2,0.0,tfidf
4,0.7554381704903295,16,0.0,tfidf
4,0.6843851318668046,4,0.0,tfidf
4,0.6452711672145803,4,0.0,tfidf
4,0.39558494697786306,4,0.0,tfidf
4,0.5149495261922964,4,0.0,tfidf
4,0.3737087624893653,8,0.0,tfidf
4,0.5917776489122185,4,0.0,tfidf
4,0.08759729477797097,2,0.0,tfidf
4,0.47311785728459665,16,0.0,tfidf
4,0.7278822781367341,2,0.0,tfidf
4,0.8626367288319996,16,0.0,fasttext
4,0.3828796669633904,4,0.0,fasttext
4,0.40592180641481773,4,0.0,fasttext
4,0.9534364657209338,4,0.0,fasttext
4,0.5658535886976258,16,0.0,fasttext
4,0.252703602112202,4,0.0,fasttext
4,0.46525311165270666,16,0.0,fasttext
4,0.05310144781128122,4,0.0,fasttext
4,0.3570833745591323,8,0.0,fasttext
4,0.938505471141209,8,0.0,fasttext
4,0.7405049239899972,2,0.0,fasttext
4,0.6592131594231365,16,0.0,fasttext
4,0.7538467975156886,2,0.0,fasttext
4,0.5946678143888153,16,0.0,fasttext
4,0.8219003316163647,4,0.0,fasttext
4,0.5282994636840507,16,0.0,fasttext
4,0.8564884837706145,2,0.0,fasttext
4,0.6813807673811522,8,0.0,fasttext
4,0.2922418555847667,4,0.0,fasttext
4,0.4839299687884716,16,0.0,fasttext
4,0.9766706916286357,4,0.0,fasttext
4,0.43362458866143755,4,0.0,fasttext
4,0.38274118688286524,4,0.0,fasttext
4,0.5919900392134051,4,0.0,fasttext
4,0.23710722460913383,4,0.0,fasttext
4,0.5107850044221391,16,0.0,fasttext
4,0.3446911075888208,2,0.0,fasttext
4,0.43363683480021276,8,0.0,fasttext
4,0.15973162773841804,4,0.0,fasttext
4,0.4042647248506284,4,0.0,fasttext
4,0.9950461306821334,16,0.0,fasttext
4,0.9011479868742037,4,0.0,fasttext
4,0.9004231491563828,4,0.0,fasttext
4,0.9983682024517371,4,0.0,fasttext
4,0.8064966345254112,4,0.0,fasttext
4,0.5496514763108179,16,0.0,fasttext
4,0.46595351253936557,4,0.0,fasttext
4,0.9344216307084131,8,0.0,fasttext
4,0.8585020381525816,4,0.0,fasttext
4,0.6475686641005469,16,0.0,fasttext
4,0.7325759511478789,2,0.0,fasttext
4,0.34897046193376485,16,0.0,fasttext
