density_threshold,distance_threshold,tsne_n_components,NMI,embedding
0.37124848289280304,0.6269706492573257,4,0.3458566526879389,BERT
0.35524807201279635,0.2918591720365385,8,0.3448272900273588,BERT
0.6921049316434291,0.7811627906095293,2,0.3674306539514663,BERT
0.5368680425866004,0.17878837341643547,8,0.3448272900273588,BERT
0.5231790722173364,0.9478479184334572,2,0.3779394591128386,BERT
0.14961491880164263,0.8362135123124705,2,0.3703146298185453,BERT
0.6349618238830587,0.6045425824263579,16,0.34473401535561754,BERT
0.15059304077232322,0.055218541220731505,16,0.34473401535561754,BERT
0.059704273693426846,0.904605992828424,2,0.37580064880229275,BERT
0.21818113155766314,0.04703872979507579,16,0.34473401535561754,BERT
0.9258936491817074,0.9954907329120932,4,0.3458566526879389,BERT
0.07475797365095348,0.9696833309347568,2,0.3798901070213207,BERT
0.02218960607096332,0.7721523726450761,2,0.3668531473092385,BERT
0.3518736893585667,0.9975220408436435,2,0.38219902801565886,BERT
0.339153986836264,0.7298493383335747,2,0.3650916621874698,BERT
0.24294423530670078,0.9564958078550645,2,0.37846439937014237,BERT
0.015500736771985824,0.4260411330693399,2,0.3548300807178074,BERT
0.2920850861947783,0.8576254758193842,8,0.3448272900273588,BERT
0.43544649658448487,0.9971777659772519,4,0.3458566526879389,BERT
0.1464461729501931,0.6933675822249226,2,0.36366146752686823,BERT
0.23949217949973273,0.8526425260742946,2,0.3715554119448127,BERT
0.2299058010064216,0.8995819913941496,2,0.3751177478176658,BERT
0.12394306789924497,0.994690299466925,2,0.38189361354282286,BERT
0.09614096863805642,0.9928070052427361,2,0.3817740670321174,BERT
0.11798072888777136,0.8233729700581484,2,0.36990022952670015,BERT
0.10966772148057555,0.900225532750915,2,0.3751680041387266,BERT
0.20509133805098145,0.9154834406388572,8,0.3448272900273588,BERT
0.29702145519146633,0.7984901660363589,16,0.34473401535561754,BERT
0.022006767926320045,0.9928823880554097,4,0.3458566526879389,BERT
0.4095375728018112,0.6587598849523034,4,0.3458566526879389,BERT
0.16709584760797722,0.7299486070692123,2,0.3650916621874698,BERT
0.09890998313101224,0.9316159576353237,2,0.3772386119547992,BERT
0.07812634966048297,0.9959887146745211,2,0.38189361354282286,BERT
0.2976084618855392,0.8767075812590176,2,0.3734898759885305,BERT
0.09512400770262314,0.9328812520178338,8,0.3448272900273588,BERT
0.18031814271419877,0.8104926409321749,2,0.3689995103535492,BERT
0.06937364746775093,0.9993214145455878,2,0.3820579701122528,BERT
0.011767696113483647,0.8697082588089846,2,0.37298003705142657,BERT
0.18347103933526837,0.6006631159094122,2,0.3602162750005452,BERT
0.351724683875976,0.9437113202529834,16,0.34473401535561754,BERT
0.13925143501368978,0.7805368089119626,8,0.3448272900273588,BERT
0.0739998754751521,0.9906685962539488,2,0.3817218368340862,BERT
0.049804133587329956,0.9441003966806023,2,0.3780478212046033,BERT
0.07281320483878115,0.9998302364276331,2,0.382157516033229,BERT
0.06223716719356353,0.8873861152056516,2,0.37446191924582783,BERT
0.18116749316297384,0.9437267461321863,2,0.3780478212046033,BERT
0.13619038171767428,0.8589852814705246,2,0.3721645838784116,BERT
0.12764433823808025,0.954243318058942,16,0.34473401535561754,BERT
0.05205869478070148,0.9985506369671944,2,0.3819531865072716,BERT
0.2534554139878875,0.9011649535579715,4,0.3458566526879389,BERT
0.20244589449779318,0.9561992926609918,2,0.37836983682217307,BERT
0.05352138034405016,0.9988338620893503,2,0.3819531865072716,BERT
0.037716799153550105,0.8455814242684064,2,0.3708711360726991,BERT
0.05310046531385535,0.9666936300678947,2,0.37944864334727463,BERT
