bandwidth,tsne_n_components,NMI,embedding
0.2195909674762165,8,0.3448272900273588,BERT
0.16374295178631357,2,0.35043471380376406,BERT
0.8147164005244548,16,0.34473401535561754,BERT
0.22373750118690636,2,0.3512424063931204,BERT
0.10371793867261939,16,0.34473401535561754,BERT
0.7419723159964916,16,0.34473401535561754,BERT
0.5006541173528927,8,0.3448272900273588,BERT
0.5120125013775333,2,0.35676225981402476,BERT
0.9089834265374355,16,0.34473401535561754,BERT
0.7308758078431591,16,0.34473401535561754,BERT
0.4490685244744144,4,0.34585665268793886,BERT
0.3340818699721316,2,0.35306164999165723,BERT
0.40396192304250844,2,0.35438115934895303,BERT
0.5366499618095092,2,0.3574616010241903,BERT
0.5871197848611306,2,0.35954541630807474,BERT
0.5735233352668269,4,0.34585665268793886,BERT
0.6029945597241908,2,0.35993965784014126,BERT
0.6246609638294037,2,0.3608365760938236,BERT
0.666775893343061,2,0.3619585723502497,BERT
0.6584280170094534,4,0.34585665268793886,BERT
0.6840539616241453,8,0.3448272900273588,BERT
0.617181832231375,2,0.36046205467719816,BERT
0.599533578080427,2,0.35994422382957536,BERT
0.6438797342782712,2,0.3616564987769813,BERT
0.7507552291817395,2,0.36540536583974653,BERT
0.8230621993073897,2,0.36898151364990633,BERT
0.8191067074509919,2,0.3685834723143528,BERT
0.8262424201488718,2,0.3691429867767418,BERT
0.8993303236315616,8,0.3448272900273588,BERT
0.8215992237971718,4,0.34585665268793886,BERT
0.8402474613721995,8,0.3448272900273588,BERT
0.7507851896552807,2,0.36540536583974653,BERT
0.770146847474108,2,0.36606005960557375,BERT
0.854542684299368,2,0.3704225638389157,BERT
0.8606781985449262,2,0.37060593079112547,BERT
0.8629034187372975,2,0.3706807665960022,BERT
0.8744650681307302,2,0.3717439774414167,BERT
0.8737265428827435,2,0.3717439774414167,BERT
0.8830595351329423,16,0.34473401535561754,BERT
0.8695506080898647,2,0.371399939936858,BERT
0.906803323233485,8,0.3448272900273588,BERT
0.7876597002838311,2,0.36697460212353905,BERT
0.8652437832629563,2,0.37081271828625495,BERT
0.7021092801952291,2,0.36351081730892515,BERT
0.7859726530342593,16,0.34473401535561754,BERT
0.8693212979018234,2,0.371399939936858,BERT
0.7180352562090845,2,0.36405211257192494,BERT
0.875699510536224,2,0.37184797823575017,BERT
0.9065464138018791,4,0.34585665268793886,BERT
0.7972941003542688,2,0.36766116624804795,BERT
0.7719653536235199,16,0.34473401535561754,BERT
0.8624220958608801,2,0.37064334491607953,BERT
0.8838062194633605,2,0.37191515193651564,BERT
0.878471121745745,2,0.37177936962134656,BERT
0.8042606793832018,2,0.3679634431074713,BERT
