k,nc,tsne_n_components,NMI,embedding
35,6,8,0.4855199331201313,BERT
29,6,2,0.8156623768865671,BERT
29,6,2,0.8156623768865671,BERT
30,6,2,0.8031078974354555,BERT
28,6,2,0.7997857839699406,BERT
35,6,2,0.7992622054663486,BERT
26,6,2,0.8134644355474104,BERT
40,6,2,0.7962727642199542,BERT
32,6,16,0.20408022179777469,BERT
26,6,2,0.8134644355474104,BERT
29,6,2,0.8156623768865671,BERT
29,6,4,0.37341065608217444,BERT
26,6,2,0.8134644355474104,BERT
26,6,2,0.8134644355474104,BERT
26,6,2,0.8134644355474104,BERT
26,6,2,0.8134644355474104,BERT
32,6,2,0.8032738688032017,BERT
31,6,2,0.7944895777991309,BERT
34,6,2,0.8042699710856189,BERT
29,6,2,0.8156623768865671,BERT
29,6,2,0.8156623768865671,BERT
29,6,8,0.5816896723760658,BERT
27,6,2,0.8039379180703143,BERT
30,6,2,0.8031078974354555,BERT
31,6,2,0.7944895777991309,BERT
28,6,2,0.7997857839699406,BERT
33,6,2,0.7927546592144973,BERT
29,6,16,0.2866273991109262,BERT
26,6,2,0.8134644355474104,BERT
27,6,2,0.8039379180703143,BERT
25,6,2,0.7992687843869002,BERT
29,6,4,0.37341065608217444,BERT
27,6,2,0.8039379180703143,BERT
26,6,2,0.8134644355474104,BERT
31,6,2,0.7944895777991309,BERT
24,6,2,0.8092395082789308,BERT
28,6,2,0.7997857839699406,BERT
25,6,2,0.7992687843869002,BERT
26,6,2,0.8134644355474104,BERT
30,6,2,0.8031078974354555,BERT
22,6,2,0.8022522932651033,BERT
24,6,8,0.49524718109378124,BERT
26,6,2,0.8134644355474104,BERT
32,6,2,0.8032738688032017,BERT
28,6,2,0.7997857839699406,BERT
26,6,2,0.8134644355474104,BERT
30,6,2,0.8031078974354555,BERT
22,6,2,0.8022522932651033,BERT
27,6,16,0.1213268725898591,BERT
34,6,2,0.8042699710856189,BERT
29,6,2,0.8156623768865671,BERT
29,6,2,0.8156623768865671,BERT
29,6,2,0.8156623768865671,BERT
29,6,2,0.8156623768865671,BERT
31,6,2,0.7944895777991309,BERT
29,6,2,0.8156623768865671,BERT
29,6,4,0.37341065608217444,BERT
33,6,2,0.7927546592144973,BERT
29,6,2,0.8156623768865671,BERT
32,6,2,0.8032738688032017,BERT
29,6,2,0.8156623768865671,BERT
30,6,2,0.8031078974354555,BERT
29,6,2,0.8156623768865671,BERT
29,6,2,0.8156623768865671,BERT
28,6,2,0.7997857839699406,BERT
31,6,2,0.7944895777991309,BERT
29,6,2,0.8156623768865671,BERT
31,6,2,0.7944895777991309,BERT
34,6,8,0.5228571679414998,BERT
30,6,2,0.8031078974354555,BERT
28,6,2,0.7997857839699406,BERT
33,6,16,0.21355762054995156,BERT
29,6,2,0.8156623768865671,BERT
29,6,2,0.8156623768865671,BERT
32,6,2,0.8032738688032017,BERT
28,6,2,0.7997857839699406,BERT
30,6,2,0.8031078974354555,BERT
29,6,2,0.8156623768865671,BERT
31,6,2,0.7944895777991309,BERT
27,6,2,0.8039379180703143,BERT
30,6,4,0.49504035209620517,BERT
28,6,2,0.7997857839699406,BERT
47,6,2,0.7925190894164992,BERT
29,6,2,0.8156623768865671,BERT
29,6,2,0.8156623768865671,BERT
27,6,2,0.8039379180703143,BERT
30,6,2,0.8031078974354555,BERT
31,6,2,0.7944895777991309,BERT
29,6,2,0.8156623768865671,BERT
27,6,2,0.8039379180703143,BERT
32,6,2,0.8032738688032017,BERT
28,6,2,0.7997857839699406,BERT
29,6,2,0.8156623768865671,BERT
30,6,2,0.8031078974354555,BERT
29,6,2,0.8156623768865671,BERT
28,6,2,0.7997857839699406,BERT
31,6,2,0.7944895777991309,BERT
27,6,8,0.5549135879134351,BERT
29,6,2,0.8156623768865671,BERT
32,6,2,0.8032738688032017,BERT
30,6,2,0.8031078974354555,BERT
28,6,16,0.16074562139368712,BERT
30,6,2,0.8031078974354555,BERT
29,6,2,0.8156623768865671,BERT
31,6,2,0.7944895777991309,BERT
28,6,2,0.7997857839699406,BERT
27,6,2,0.8039379180703143,BERT
29,6,2,0.8156623768865671,BERT
30,6,2,0.8031078974354555,BERT
8,6,2,0.7738191330370177,BERT
32,6,2,0.8032738688032017,BERT
27,6,4,0.4424273922349641,BERT
29,6,2,0.8156623768865671,BERT
29,6,2,0.8156623768865671,BERT
28,6,2,0.7997857839699406,BERT
31,6,2,0.7944895777991309,BERT
30,6,2,0.8031078974354555,BERT
28,6,2,0.7997857839699406,BERT
29,6,2,0.8156623768865671,BERT
30,6,2,0.8031078974354555,BERT
27,6,2,0.8039379180703143,BERT
25,6,2,0.7992687843869002,BERT
29,6,2,0.8156623768865671,BERT
29,6,2,0.8156623768865671,BERT
28,6,2,0.7997857839699406,BERT
30,6,2,0.8031078974354555,BERT
29,6,2,0.8156623768865671,BERT
31,6,2,0.7944895777991309,BERT
28,6,2,0.7997857839699406,BERT
30,6,8,0.5950229269284589,BERT
31,6,2,0.7944895777991309,BERT
27,6,2,0.8039379180703143,BERT
29,6,2,0.8156623768865671,BERT
29,6,2,0.8156623768865671,BERT
28,6,2,0.7997857839699406,BERT
30,6,2,0.8031078974354555,BERT
29,6,2,0.8156623768865671,BERT
31,6,2,0.7944895777991309,BERT
28,6,16,0.16074562139368712,BERT
27,6,2,0.8039379180703143,BERT
30,6,2,0.8031078974354555,BERT
32,6,16,0.15033456299890507,word2vec
31,6,2,0.7054415454160213,word2vec
14,6,16,0.2210964368556345,word2vec
10,6,8,0.35230818892299726,word2vec
47,6,16,0.1438507111672677,word2vec
6,6,2,0.6535038367843695,word2vec
32,6,2,0.7016230153624793,word2vec
35,6,16,0.11069125255673426,word2vec
12,6,4,0.6583410818928312,word2vec
33,6,4,0.5042140211838945,word2vec
22,6,2,0.733714726228384,word2vec
24,6,2,0.7493738336832804,word2vec
21,6,2,0.7283426362948803,word2vec
21,6,2,0.7283426362948803,word2vec
22,6,8,0.5326846793867126,word2vec
42,6,2,0.6825496311068359,word2vec
26,6,2,0.7017866805675116,word2vec
16,6,2,0.6656699977917664,word2vec
40,6,4,0.6834250091600353,word2vec
26,6,8,0.5188122253929321,word2vec
17,6,2,0.658823034998295,word2vec
18,6,2,0.659047379964507,word2vec
23,6,2,0.7403912357854976,word2vec
26,6,2,0.7017866805675116,word2vec
24,6,2,0.7493738336832804,word2vec
27,6,2,0.7068071045753502,word2vec
37,6,2,0.7061478886342438,word2vec
29,6,4,0.6269271935176904,word2vec
24,6,8,0.5567215242578643,word2vec
30,6,16,0.17084356555956273,word2vec
18,6,2,0.659047379964507,word2vec
21,6,2,0.7283426362948803,word2vec
23,6,2,0.7403912357854976,word2vec
25,6,2,0.7032790856076744,word2vec
29,6,2,0.7048781859261741,word2vec
13,6,2,0.5893469962220692,word2vec
8,6,16,0.15326253493971753,word2vec
19,6,2,0.7213819851028033,word2vec
15,6,8,0.2769792185528888,word2vec
24,6,16,0.1316112118458045,word2vec
34,6,2,0.7157460569913452,word2vec
24,6,2,0.7493738336832804,word2vec
28,6,2,0.7055388013520764,word2vec
23,6,2,0.7403912357854976,word2vec
31,6,2,0.7054415454160213,word2vec
20,6,4,0.6048034400233564,word2vec
23,6,2,0.7403912357854976,word2vec
20,6,2,0.7072549510199339,word2vec
28,6,2,0.7055388013520764,word2vec
10,6,2,0.7391534859016617,word2vec
36,6,16,0.1709989971346734,word2vec
23,6,2,0.7403912357854976,word2vec
48,6,2,0.7076688641112611,word2vec
22,6,2,0.733714726228384,word2vec
25,6,2,0.7032790856076744,word2vec
32,6,8,0.5955748326995286,word2vec
27,6,4,0.4924546884585816,word2vec
16,6,2,0.6656699977917664,word2vec
23,6,2,0.7403912357854976,word2vec
20,6,2,0.7072549510199339,word2vec
25,6,2,0.7032790856076744,word2vec
23,6,2,0.7403912357854976,word2vec
22,6,2,0.733714726228384,word2vec
19,6,2,0.7213819851028033,word2vec
24,6,2,0.7493738336832804,word2vec
26,6,2,0.7017866805675116,word2vec
29,6,2,0.7048781859261741,word2vec
18,6,4,0.5099149712965692,word2vec
24,6,8,0.5567215242578643,word2vec
27,6,2,0.7068071045753502,word2vec
25,6,2,0.7032790856076744,word2vec
21,6,2,0.7283426362948803,word2vec
23,6,2,0.7403912357854976,word2vec
44,6,2,0.6908951777163529,word2vec
21,6,2,0.7283426362948803,word2vec
30,6,16,0.17084356555956273,word2vec
24,6,2,0.7493738336832804,word2vec
27,6,2,0.7068071045753502,word2vec
19,6,2,0.7213819851028033,word2vec
17,6,2,0.658823034998295,word2vec
24,6,8,0.5567215242578643,word2vec
26,6,2,0.7017866805675116,word2vec
22,6,2,0.733714726228384,word2vec
24,6,2,0.7493738336832804,word2vec
25,6,2,0.7032790856076744,word2vec
28,6,2,0.7055388013520764,word2vec
24,6,2,0.7493738336832804,word2vec
26,6,4,0.4650258506114184,word2vec
24,6,16,0.1316112118458045,word2vec
20,6,2,0.7072549510199339,word2vec
21,6,2,0.7283426362948803,word2vec
23,6,2,0.7403912357854976,word2vec
22,6,2,0.733714726228384,word2vec
24,6,2,0.7493738336832804,word2vec
25,6,2,0.7032790856076744,word2vec
30,6,2,0.7022713601353308,word2vec
24,6,2,0.7493738336832804,word2vec
27,6,2,0.7068071045753502,word2vec
24,6,2,0.7493738336832804,word2vec
24,6,2,0.7493738336832804,word2vec
28,6,2,0.7055388013520764,word2vec
24,6,2,0.7493738336832804,word2vec
26,6,2,0.7017866805675116,word2vec
24,6,2,0.7493738336832804,word2vec
