min_cluster_size,min_samples,umap_n_components,NMI,embedding
66,90,2,0.7642174812383666,word2vec
190,141,8,0.4239152702972829,word2vec
6,107,2,0.7293245122571632,word2vec
78,46,8,0.7073140046201495,word2vec
95,113,16,0.4239152702972829,word2vec
8,64,2,0.7398515501825378,word2vec
155,24,16,0.726779441652279,word2vec
54,86,2,0.7586577906077376,word2vec
77,130,2,0.6858464587246407,word2vec
49,76,2,0.7452918387058142,word2vec
85,120,2,0.4504090703987007,word2vec
66,39,2,0.7096105044404724,word2vec
41,89,8,0.774633948211228,word2vec
42,91,8,0.7893402920613614,word2vec
38,97,8,0.4239152702972829,word2vec
27,65,8,0.7080231838020842,word2vec
102,139,8,0.4239152702972829,word2vec
47,64,8,0.7077263546106132,word2vec
66,120,8,0.4239152702972829,word2vec
36,91,8,0.7468279281546417,word2vec
20,53,4,0.7288805507195815,word2vec
21,83,8,0.7530600098864199,word2vec
56,108,2,0.738553550820766,word2vec
40,78,4,0.7422596024677871,word2vec
75,98,2,0.7391169066712755,word2vec
93,71,8,0.7296111022881242,word2vec
57,53,4,0.7288805507195815,word2vec
114,86,2,0.7586577906077376,word2vec
46,153,8,0.4239152702972829,word2vec
65,33,2,0.7105855227707673,word2vec
31,122,4,0.4239152702972829,word2vec
20,91,8,0.7468279281546417,word2vec
116,83,2,0.7645464890341017,word2vec
140,108,2,0.738553550820766,word2vec
136,71,2,0.7862104313233614,word2vec
154,61,2,0.7389117644266209,word2vec
126,72,2,0.7871873316718822,word2vec
126,74,16,0.7304920795138995,word2vec
132,55,2,0.7178311649096712,word2vec
116,15,2,0.6233114908076138,word2vec
151,42,8,0.7321505591854356,word2vec
167,101,16,0.4239152702972829,word2vec
142,81,2,0.7841631193704311,word2vec
143,80,2,0.7348876240994346,word2vec
178,71,2,0.7862104313233614,word2vec
182,73,2,0.7876181860762662,word2vec
191,69,2,0.7867311849530689,word2vec
193,70,2,0.7875825350383353,word2vec
173,185,2,0.4525901707215709,word2vec
194,62,2,0.7398515501825378,word2vec
185,68,2,0.7398515501825378,word2vec
165,44,2,0.739200529323998,word2vec
184,60,2,0.7398515501825378,word2vec
179,75,2,0.7852131703187453,word2vec
174,70,2,0.7875825350383353,word2vec
193,51,2,0.7169977154114148,word2vec
163,94,2,0.7650887868017601,word2vec
187,34,2,0.7375677002168219,word2vec
171,68,2,0.7398515501825378,word2vec
158,59,16,0.7345298494917548,word2vec
178,47,2,0.7183711062785884,word2vec
131,100,4,0.6051092693111364,word2vec
178,72,2,0.7871873316718822,word2vec
148,76,2,0.7767254803514241,word2vec
182,69,2,0.7867311849530689,word2vec
195,86,2,0.7586577906077376,word2vec
183,65,2,0.7389117644266209,word2vec
190,57,2,0.7398515501825378,word2vec
175,78,2,0.7820884512789635,word2vec
160,69,2,0.7867311849530689,word2vec
181,50,2,0.7184960347104814,word2vec
189,104,4,0.7361897896357777,word2vec
161,68,2,0.7398515501825378,word2vec
174,94,2,0.7650887868017601,word2vec
169,84,2,0.7645464890341017,word2vec
188,73,2,0.7876181860762662,word2vec
188,73,8,0.4239152702972829,word2vec
195,81,16,0.7801120153359831,word2vec
182,90,2,0.7642174812383666,word2vec
175,65,2,0.7389117644266209,word2vec
89,56,2,0.7389117644266209,word2vec
169,77,8,0.7901093492721879,word2vec
169,78,8,0.7897629050329921,word2vec
169,79,8,0.7901093492721879,word2vec
168,78,8,0.7897629050329921,word2vec
167,87,8,0.7742100516911686,word2vec
148,94,8,0.4239152702972829,word2vec
155,78,8,0.7897629050329921,word2vec
155,78,8,0.7897629050329921,word2vec
152,115,8,0.4239152702972829,word2vec
159,78,8,0.7897629050329921,word2vec
164,81,8,0.7896415647854549,word2vec
158,78,8,0.7897629050329921,word2vec
163,83,8,0.790536651344418,word2vec
158,83,8,0.790536651344418,word2vec
146,79,8,0.7901093492721879,word2vec
158,79,8,0.7901093492721879,word2vec
147,85,8,0.7898542418195019,word2vec
155,88,8,0.774633948211228,word2vec
145,96,8,0.4239152702972829,word2vec
136,85,8,0.7898542418195019,word2vec
135,86,8,0.7895600799747471,word2vec
150,83,8,0.790536651344418,word2vec
149,83,8,0.790536651344418,word2vec
148,91,8,0.7893402920613614,word2vec
138,83,8,0.790536651344418,word2vec
137,103,8,0.7324080619143446,word2vec
145,83,8,0.790536651344418,word2vec
140,83,8,0.790536651344418,word2vec
144,91,8,0.7893402920613614,word2vec
140,81,8,0.7896415647854549,word2vec
130,95,8,0.4239152702972829,word2vec
123,98,8,0.4239152702972829,word2vec
150,83,8,0.790536651344418,word2vec
150,84,8,0.7901865431880863,word2vec
142,83,8,0.790536651344418,word2vec
140,89,8,0.774633948211228,word2vec
151,83,8,0.790536651344418,word2vec
150,83,8,0.790536651344418,word2vec
151,83,8,0.790536651344418,word2vec
150,106,8,0.7324080619143446,word2vec
151,83,8,0.790536651344418,word2vec
152,83,8,0.790536651344418,word2vec
153,93,8,0.7882623545670701,word2vec
141,88,8,0.774633948211228,word2vec
144,101,8,0.7324080619143446,word2vec
162,83,8,0.790536651344418,word2vec
152,83,8,0.790536651344418,word2vec
130,74,8,0.7897629050329921,word2vec
134,97,8,0.4239152702972829,word2vec
156,88,8,0.774633948211228,word2vec
143,92,8,0.7884797978760021,word2vec
163,83,8,0.790536651344418,word2vec
161,83,8,0.790536651344418,word2vec
151,75,8,0.7901093492721879,word2vec
148,88,8,0.774633948211228,word2vec
138,83,8,0.790536651344418,word2vec
163,65,8,0.7314423354722449,word2vec
155,91,8,0.7893402920613614,word2vec
145,73,4,0.7422596024677871,word2vec
105,99,8,0.4239152702972829,word2vec
150,87,16,0.7970435687059104,word2vec
151,86,16,0.7823811815453092,word2vec
158,81,16,0.7801120153359831,word2vec
147,75,16,0.7287733266400409,word2vec
141,87,8,0.7742100516911686,word2vec
153,94,8,0.4239152702972829,word2vec
160,83,16,0.7297402297961079,word2vec
156,91,8,0.7893402920613614,word2vec
143,83,8,0.790536651344418,word2vec
150,171,8,0.4239152702972829,word2vec
127,76,8,0.7901093492721879,word2vec
153,82,8,0.7901865431880863,word2vec
165,86,8,0.7895600799747471,word2vec
147,81,8,0.7896415647854549,word2vec
139,89,8,0.774633948211228,word2vec
152,75,8,0.7901093492721879,word2vec
160,86,8,0.7895600799747471,word2vec
156,95,8,0.4239152702972829,word2vec
145,81,16,0.7801120153359831,word2vec
150,90,8,0.7744442230021213,word2vec
139,70,8,0.7289289644993686,word2vec
163,84,8,0.7901865431880863,word2vec
165,81,8,0.7896415647854549,word2vec
158,84,8,0.7901865431880863,word2vec
153,77,8,0.7901093492721879,word2vec
148,87,8,0.7742100516911686,word2vec
134,80,4,0.7872551075031268,word2vec
144,92,8,0.7884797978760021,word2vec
112,72,8,0.7299125079125743,word2vec
163,76,8,0.7901093492721879,word2vec
155,85,8,0.7898542418195019,word2vec
