n_clusters,umap_n_components,NMI,embedding
6,16,0.5887744122727286,BERT
6,8,0.7472259967872198,BERT
6,8,0.7472259967872196,BERT
6,16,0.7341008798700341,BERT
6,16,0.7456510748238987,BERT
6,4,0.8212817696314672,BERT
6,2,0.5869616349204332,BERT
6,4,0.7363564866034114,BERT
6,16,0.5887744122727285,BERT
6,2,0.5873851991736472,BERT
6,4,0.8212817696314672,BERT
6,4,0.8212817696314672,BERT
6,4,0.7473566813702345,BERT
6,4,0.7473566813702344,BERT
6,4,0.7363564866034112,BERT
6,4,0.7363564866034112,BERT
6,4,0.7363564866034112,BERT
6,4,0.7473566813702345,BERT
6,2,0.720257498506331,BERT
6,8,0.7472259967872196,BERT
6,4,0.7363564866034112,BERT
6,4,0.7473566813702345,BERT
6,4,0.7473566813702345,BERT
6,4,0.7519416106314755,BERT
6,4,0.7473566813702345,BERT
6,4,0.7363564866034114,BERT
6,4,0.7363564866034114,BERT
6,2,0.631973171405304,BERT
6,8,0.7472259967872198,BERT
6,16,0.7456510748238987,BERT
6,4,0.7363564866034112,BERT
6,4,0.7473566813702344,BERT
6,4,0.7473566813702345,BERT
6,4,0.7473566813702345,BERT
6,8,0.7472259967872198,BERT
6,4,0.7473566813702345,BERT
6,16,0.7456510748238987,BERT
6,4,0.7473566813702344,BERT
6,8,0.7472259967872198,BERT
6,2,0.5873851991736472,BERT
6,16,0.7456510748238987,BERT
6,4,0.7473566813702345,BERT
6,4,0.7519416106314755,BERT
6,4,0.7363564866034114,BERT
6,4,0.7473566813702345,BERT
6,4,0.8409223617310494,BERT
6,4,0.7519416106314755,BERT
6,4,0.7363564866034115,BERT
6,4,0.821281769631467,BERT
6,2,0.5873851991736472,BERT
6,4,0.7473566813702345,BERT
6,4,0.7473566813702345,BERT
6,4,0.7473566813702345,BERT
6,4,0.7473566813702345,BERT
6,4,0.7473566813702345,BERT
6,4,0.7473566813702345,BERT
6,16,0.5874572399934095,BERT
6,4,0.7473566813702344,BERT
6,8,0.7472259967872198,BERT
6,4,0.7363564866034114,BERT
6,4,0.7363564866034114,BERT
6,4,0.7473566813702345,BERT
6,4,0.7473566813702345,BERT
6,4,0.7473566813702345,BERT
6,4,0.7363564866034114,BERT
6,2,0.5873851991736471,BERT
6,4,0.7473566813702345,BERT
6,4,0.821281769631467,BERT
6,4,0.7519416106314755,BERT
6,4,0.7519416106314755,BERT
6,8,0.7472259967872198,BERT
6,4,0.7473566813702345,BERT
6,4,0.7473566813702345,BERT
6,4,0.7363564866034112,BERT
6,4,0.7363564866034112,BERT
6,16,0.5887744122727286,BERT
6,4,0.7473566813702345,BERT
6,4,0.7363564866034114,BERT
6,4,0.7473566813702345,BERT
6,2,0.720257498506331,BERT
6,4,0.7473566813702345,BERT
6,4,0.7473566813702345,BERT
6,4,0.7473566813702345,BERT
6,4,0.821281769631467,BERT
6,4,0.7473566813702345,BERT
6,4,0.7473566813702346,BERT
6,4,0.7473566813702345,BERT
6,4,0.7363564866034112,BERT
6,16,0.7456510748238985,BERT
6,8,0.7472259967872198,BERT
6,4,0.7473566813702345,BERT
6,4,0.7363564866034112,BERT
6,4,0.7473566813702345,BERT
6,4,0.7363564866034112,BERT
6,4,0.7473566813702345,BERT
6,4,0.7473566813702345,BERT
6,4,0.7473566813702345,BERT
6,4,0.7363564866034114,BERT
6,2,0.5873851991736472,BERT
6,4,0.7473566813702345,BERT
6,4,0.7473566813702345,BERT
6,4,0.7473566813702345,BERT
