perplexity,MinPts,probability,umap_n_components,NMI,embedding
18,14,0.9970147767777799,8,0.7347823594213475,BERT
20,15,0.9970122793652401,8,0.8129110949607566,BERT
17,17,0.9970156905869751,8,0.8129110949607566,BERT
19,12,0.9970176854031949,8,0.6412154280148522,BERT
16,9,0.9970067295901988,2,0.5820994921551244,BERT
21,20,0.997023102146919,8,0.8133278200330832,BERT
22,20,0.997022759374063,16,0.7260117075061966,BERT
21,17,0.9970192126497824,4,0.8138781367737721,BERT
24,20,0.9970246833590364,4,0.8057284311708022,BERT
30,17,0.997030163606872,4,0.7357567100815562,BERT
21,19,0.9970194122894929,4,0.8068352507343511,BERT
23,18,0.9970222980679027,4,0.8138781367737722,BERT
23,21,0.9970244604067044,4,0.8068352507343511,BERT
27,19,0.997035318450829,4,0.7357567100815562,BERT
23,18,0.9970287868254029,4,0.8138781367737722,BERT
23,11,0.9970327504743355,4,0.7357567100815562,BERT
25,17,0.9970292610187842,4,0.7357567100815562,BERT
22,18,0.997019276642742,4,0.8138781367737722,BERT
22,13,0.99702929687127,4,0.7357567100815562,BERT
27,18,0.997025589483389,4,0.7357567100815562,BERT
24,18,0.9970190200719694,4,0.7357567100815562,BERT
20,7,0.9970212147783422,4,0.7357567100815562,BERT
25,21,0.9970274019257013,4,0.804659465929136,BERT
23,16,0.9970120306385037,4,0.8138781367737721,BERT
19,18,0.9970314096952223,4,0.8068352507343511,BERT
22,9,0.9970219042224344,4,0.7357567100815562,BERT
16,10,0.9970368477581383,4,0.8138781367737721,BERT
21,12,0.9970179977422347,4,0.8138781367737721,BERT
5,19,0.9970335604692054,2,0.0,BERT
24,17,0.9970255928835425,4,0.7357567100815562,BERT
23,16,0.9970109774675778,4,0.8138781367737721,BERT
26,16,0.9970129211261074,4,0.7357567100815562,BERT
23,14,0.9970281693895077,4,0.7357567100815562,BERT
15,8,0.9970043551712554,4,0.8138781367737721,BERT
18,17,0.9970204778330569,4,0.8094773084323796,BERT
20,18,0.9970078222467558,16,0.7260117075061966,BERT
19,14,0.9970168309523806,4,0.8138781367737721,BERT
13,16,0.9970137843609044,4,0.7817748386336256,BERT
17,1,0.9970095646210198,4,0.7357567100815562,BERT
25,19,0.997024447533389,4,0.7357567100815562,BERT
16,10,0.9970358979511326,4,0.8138781367737721,BERT
14,10,0.997038358258602,4,0.8053553889959185,BERT
16,11,0.9970303924599095,4,0.8138781367737721,BERT
15,9,0.9970339163157532,4,0.8138781367737721,BERT
22,8,0.9970232888349425,4,0.7357567100815562,BERT
17,5,0.9970270085383157,4,0.7357567100815562,BERT
20,13,0.9970394091569271,2,0.5835316442747803,BERT
18,12,0.9970186215654299,4,0.8138781367737721,BERT
24,10,0.997022425699219,4,0.7357567100815562,BERT
1,15,0.9970363869073072,16,0.0,BERT
21,12,0.9970191659140075,4,0.8138781367737721,BERT
21,11,0.9970177808915539,4,0.7357567100815562,BERT
23,17,0.997014527824468,4,0.8138781367737721,BERT
16,7,0.9970313723794483,4,0.7357567100815562,BERT
22,12,0.9970283543825348,4,0.7357567100815562,BERT
17,10,0.9970157894430676,4,0.8138781367737721,BERT
21,16,0.9970260076798281,4,0.8138781367737721,BERT
19,18,0.9970127242365489,4,0.8068352507343511,BERT
14,13,0.9970200175027762,4,0.7852392626107566,BERT
23,15,0.9970217603090296,4,0.8138781367737721,BERT
22,16,0.9970106976616716,4,0.8138781367737721,BERT
23,9,0.997008192781925,4,0.7357567100815562,BERT
24,17,0.9970171959857992,4,0.7357567100815562,BERT
16,14,0.9970287711180645,4,0.8053553889959185,BERT
15,18,0.9970117424195559,4,0.7887940823895515,BERT
21,19,0.9970054073570163,4,0.8068352507343511,BERT
23,16,0.9970257419088213,4,0.8138781367737721,BERT
18,29,0.9970324562351963,2,0.7309017887367815,BERT
20,8,0.9970109497423997,4,0.7357567100815562,BERT
26,15,0.9970157078522955,4,0.7357567100815562,BERT
15,8,0.9970042163365906,4,0.8138781367737721,BERT
15,10,0.9970017500218046,4,0.8053553889959185,BERT
17,11,0.997006468191304,4,0.8138781367737721,BERT
24,7,0.9970098322849769,4,0.7357567100815562,BERT
