density_threshold,distance_threshold,umap_n_components,NMI,embedding
0.3078288816616772,0.25202509416807173,4,0.5783964876525372,BERT
0.37748050454881177,0.31967195089757666,8,0.6351435761993912,BERT
0.8117996298915602,0.031894571755047826,16,0.35355126206133375,BERT
0.5126869393694061,0.11336127117836121,4,0.4226092195184713,BERT
0.08993847282090521,0.4771722196913381,2,0.6618185421184307,BERT
0.18061803448853025,0.29380553583745384,8,0.6253217973370918,BERT
0.859631729753544,0.1282468330716059,8,0.43488449604433177,BERT
0.19743997750126369,0.263961233474247,4,0.5850399434379425,BERT
0.05285646079045485,0.20441039962770363,2,0.6148743990663171,BERT
0.47539075453950047,0.21549146993786894,2,0.6198190610362443,BERT
0.011773197183469197,0.7013850955474135,2,0.6904790735043977,BERT
0.014345381985211226,0.6825532774083761,2,0.6753259719967771,BERT
0.025212513492184396,0.8076126577160266,2,0.689707999404867,BERT
0.03793710934413652,0.903656723604169,2,0.703876729730202,BERT
0.1852902059209519,0.9744793336908335,16,0.7345732906835561,BERT
0.22415060694240926,0.979238609097904,16,0.7345732906835561,BERT
0.22771336949357504,0.9930419562918907,16,0.7345732906835561,BERT
0.32328926691583976,0.9961463529015145,16,0.7345732906835561,BERT
0.15842148951609242,0.8415183045739305,16,0.7161584633736016,BERT
0.443819842467513,0.7009017648094318,16,0.7018922189299657,BERT
0.2585115963647184,0.9091985747858625,16,0.7345732906835561,BERT
0.2333682236996123,0.9854501109898905,16,0.7345732906835561,BERT
0.1570871495484515,0.9556644992833645,16,0.7345732906835561,BERT
0.1292869231665591,0.8361449336883214,16,0.7161584633736016,BERT
0.28166593563807374,0.9899039751867468,16,0.7345732906835561,BERT
0.3652865653517486,0.9004223039099338,16,0.7161584633736016,BERT
0.23361736166957325,0.7712797776718334,16,0.7018922189299657,BERT
0.11293848220235764,0.9054710151555239,16,0.7345732906835561,BERT
0.117925411203574,0.7648251779943402,16,0.7018922189299657,BERT
0.2978303550803795,0.5757918880894336,4,0.669835249587888,BERT
0.22032260455606276,0.8535149667967943,16,0.7161584633736016,BERT
0.33221923328177816,0.9856875580670478,16,0.7345732906835561,BERT
0.3045947029655723,0.9390345713299149,16,0.7345732906835561,BERT
0.4001694021941419,0.9918767924696298,8,0.7343676312328651,BERT
0.3461356134423813,0.8736706483119449,16,0.7161584633736016,BERT
0.5356991149443736,0.9379152305961266,4,0.7162731365295935,BERT
0.19498266938904726,0.9967103637508719,16,0.7345732906835561,BERT
0.2682540228838501,0.9405828787614009,8,0.715773851905764,BERT
0.40298243518867705,0.8676362284364767,16,0.7161584633736016,BERT
0.08102282796331992,0.7817392251652249,4,0.7076517398072624,BERT
0.16718089545946427,0.9372984353479575,8,0.715773851905764,BERT
0.25901414134031553,0.8956062890424409,16,0.7161584633736016,BERT
0.20856730706052914,0.8928944213074465,16,0.7161584633736016,BERT
0.31427464534609395,0.952948464196524,16,0.7345732906835561,BERT
0.25178627028517947,0.8286527210114364,16,0.7226428537738897,BERT
0.08724362115195708,0.9952427921586028,16,0.7345732906835561,BERT
0.19242855313148852,0.3716272109401071,16,0.6583519344593161,BERT
0.1453915909309631,0.9198011974584896,16,0.7345732906835561,BERT
0.2791093731542807,0.867603843962336,4,0.7162731365295935,BERT
0.35532789398849024,0.8011030619077496,16,0.7018922189299657,BERT
0.06142875007103969,0.9573348507875984,2,0.7216357051140819,BERT
0.22807159039385355,0.9939573148304235,16,0.7345732906835561,BERT
0.185048267652011,0.9498195087680733,16,0.7345732906835561,BERT
0.24007314323668277,0.9094427167921941,16,0.7345732906835561,BERT
0.1297784649961503,0.969939362520364,16,0.7345732906835561,BERT
0.30285762078787404,0.9206076062295941,16,0.7345732906835561,BERT
0.15945612029201667,0.8328270030524518,8,0.715773851905764,BERT
0.21838822799561725,0.8760497391576734,16,0.7161584633736016,BERT
0.256139620395941,0.9608096005075765,2,0.7216357051140819,BERT
0.10562165714941174,0.7494571622165933,16,0.7018922189299657,BERT
0.3306399618084215,0.9159129076169531,16,0.7345732906835561,BERT
0.17555256940006625,0.9550481822492198,16,0.7345732906835561,BERT
0.14511142834152768,0.996975400365562,16,0.7345732906835561,BERT
0.27974904709917314,0.9657015664829898,16,0.7345732906835561,BERT
0.22387381145861598,0.8827379751523436,16,0.7161584633736016,BERT
0.1910184853978676,0.8418810041376455,16,0.7161584633736016,BERT
0.059064394619006144,0.9234882332799884,16,0.7345732906835561,BERT
0.13452963886175956,0.971802802469759,4,0.7355079866899495,BERT
0.12597817310266032,0.9725922457786349,4,0.7355079866899495,BERT
0.11257845321462621,0.9997594566169784,4,0.7355079866899495,BERT
0.10815745623502532,0.999065394090335,4,0.7355079866899495,BERT
0.035838320532153245,0.9999075154921424,4,0.7355079866899495,BERT
0.03093650171931582,0.9700177010650064,4,0.7355079866899495,BERT
0.020687544298613005,0.971173987856297,4,0.7355079866899495,BERT
0.012755756298973964,0.9697459526718462,4,0.7355079866899495,BERT
0.025375500675489507,0.9666850558360464,4,0.7355079866899495,BERT
