bandwidth,umap_n_components,NMI,embedding
0.04587248907320613,2,0.3832356715976123,BERT
0.6158224417420735,2,0.6471490606632144,BERT
0.785445039441856,16,0.6859790392840617,BERT
0.340639308447712,16,0.5288919370375431,BERT
0.39651840384876924,4,0.5526668114955902,BERT
0.9003265593141017,16,0.7332434148432805,BERT
0.4635005052633058,16,0.5845417243568772,BERT
0.11639151404000361,8,0.4092112750906269,BERT
0.6024767991466056,2,0.6390427137681223,BERT
0.6526357230379366,2,0.6650676270296523,BERT
0.8324158032393194,4,0.7301512183556844,BERT
0.9055124838761377,4,0.7311940763710935,BERT
0.8834852177301742,4,0.7317906483754324,BERT
0.9007455875680584,8,0.7319409972079203,BERT
0.7483115142309789,8,0.6841032686667768,BERT
0.7393833258839393,8,0.6844850141567064,BERT
0.892611305686582,16,0.7332434148432804,BERT
0.7950417602159054,16,0.685828694746964,BERT
0.7072031541734237,16,0.6678874763117633,BERT
0.8159033055976685,16,0.685635643672176,BERT
0.5306809399581308,16,0.6264893610284724,BERT
0.9019700551469964,8,0.7290875709208458,BERT
0.8450778359265625,8,0.7318406342202691,BERT
0.6993522256302157,16,0.66792307755641,BERT
0.8993941060347695,8,0.7322510901802048,BERT
0.7926161629262631,16,0.6857941537443226,BERT
0.8482733694764654,16,0.7336550399144287,BERT
0.766345651161171,16,0.6842426940943819,BERT
0.8258801627119929,16,0.6983224928285943,BERT
0.6835514356515655,16,0.6731554532559297,BERT
0.841150722852764,16,0.7155384281034993,BERT
0.9069673700761325,8,0.7300630109340212,BERT
0.8535481354379553,2,0.6954958399898151,BERT
0.758025703278842,16,0.6759360856208686,BERT
0.8551799949353921,16,0.7285685738249319,BERT
0.7848324776917566,2,0.6800381741526715,BERT
0.727557426715254,16,0.6750279532008908,BERT
0.8549222086725807,8,0.732660785924808,BERT
0.6405118961688363,16,0.6674492684501908,BERT
0.7994151003858162,4,0.7175875808243322,BERT
0.8617297951667295,16,0.7332855214944972,BERT
0.8600859467018472,16,0.7336328062168522,BERT
0.8616572920696824,16,0.7332855214944972,BERT
0.8096102075748581,16,0.6991046906621745,BERT
0.757495790917458,16,0.6688379877325362,BERT
0.8555261276998586,16,0.7285685738249319,BERT
0.5955427517974783,16,0.6505794143413053,BERT
0.7236587038454917,2,0.6673621445188317,BERT
0.8637575862348064,4,0.7317906483754324,BERT
0.7839176863778821,16,0.686015321446333,BERT
0.6741288501931975,16,0.67429936319801,BERT
0.8783427718822372,16,0.7330605846849957,BERT
0.8756521485123456,16,0.7330605846849957,BERT
0.8213448715027382,16,0.6839285391137422,BERT
0.9091415763034683,16,0.7330266240562429,BERT
0.822702527776907,16,0.6839285391137422,BERT
0.8787960049497392,16,0.7330605846849957,BERT
0.7503040360731775,4,0.6909169103559185,BERT
0.8257002298719637,16,0.6983224928285943,BERT
0.776396586371707,16,0.6870103448721778,BERT
