k,nc,umap_n_components,NMI,embedding,f1_score,accuracy,precision,recall
31,6,4,0.8575297856079875,BERT,0.9504189461586428,0.951911976911977,0.9509340655193597,0.9514766362683688
30,6,4,0.8575297856079875,BERT,0.9517840922919678,0.9532694289837147,0.9514823175863821,0.9535032986677022
29,6,4,0.8575297856079875,BERT,0.9480149207102988,0.9487301587301588,0.9501231570058689,0.947018983258222
36,6,16,0.8362278335065569,fasttext,0.9425415248867999,0.944196042053185,0.9447544382671176,0.9432354782111719
36,6,16,0.8362278335065569,fasttext,0.9415186673823415,0.9432807668521953,0.9438112590639058,0.9420811050907311
36,6,16,0.8362278335065569,fasttext,0.9415571009453558,0.9428190063904349,0.9432589947420297,0.941758631179035
36,6,2,0.7636984786678127,tfidf,0.89319530959354,0.8952009894867038,0.898765816849385,0.8918161308657476
36,6,2,0.7636984786678127,tfidf,0.8758783100607778,0.8802174809317667,0.8796027009118796,0.876401889994195
36,6,2,0.7636984786678127,tfidf,0.9267236412321808,0.9283158111729539,0.9270421440655113,0.9284159881605744
35,6,8,0.7707418817633612,word2vec,0.9273816223478993,0.9278509585652441,0.9322277309753588,0.9259606193153715
35,6,8,0.7707418817633612,word2vec,0.9146854629780211,0.9160657596371882,0.9181260876929841,0.914499583945236
35,6,8,0.7707418817633612,word2vec,0.9191083029253868,0.9201443001443002,0.9240820907216907,0.9191219232097829
