min_cluster_size,rho,beta,umap_n_components,NMI,embedding,f1_score,accuracy,precision,recall
170,0.1565911759517929,0.316585104297794,16,0.8464793752186227,BERT,0.9603094837990396,0.9614357864357863,0.9596162515222801,0.9619449059873005
169,0.0616553029318715,0.3156071012008392,16,0.8464793752186227,BERT,0.9570935994756669,0.9587167594310451,0.9577264117124107,0.9573849086452826
172,0.1495832535131768,0.3013857578161139,16,0.8460050568929314,BERT,0.9636733836231051,0.9650597814883529,0.9640196850790007,0.9644084702023573
135,0.7727615735030495,0.2505750846440107,16,0.7652849310839649,fasttext,0.9111558222159253,0.9106153370439085,0.9186715092359256,0.9136264913850779
132,0.775391765505962,0.25019252863154,16,0.7648962247688681,fasttext,0.9156179641771283,0.9156143063285921,0.924252263384272,0.9179326778524747
132,0.0686468606074214,0.3139419344079667,16,0.7645768801214106,fasttext,0.9465504070774149,0.9478210678210678,0.9493220803249421,0.9452587943640276
192,0.8139686293222448,0.1999233965867931,16,0.703385859021273,tfidf,0.8996446980274421,0.9019944341372913,0.9015570023301324,0.9004949137402951
195,0.8325085235268086,0.2332256041719668,4,0.7011078172915709,tfidf,0.9069573821608143,0.9083446712018141,0.9108564281869714,0.9064068363526818
195,0.8269735584086624,0.2721906287533886,4,0.7011078172915709,tfidf,0.9484194910324742,0.948740465883323,0.9494219041090413,0.9487122201225505
178,0.2868664429038367,0.306975412282527,4,0.734949801097721,word2vec,0.9377039889028795,0.938747680890538,0.9413044038931089,0.9361853179013087
171,0.1280028443590023,0.2382006174344894,4,0.734949801097721,word2vec,0.9368900486324334,0.938294166151309,0.9395530565119558,0.936907118038793
171,0.1405849110443593,0.296693844292508,4,0.734949801097721,word2vec,0.9302785906555548,0.9323943516800659,0.9339740753020326,0.9286736242226181
