n_clusters,umap_n_components,NMI,embedding,f1_score,accuracy,precision,recall
5,8,0.8661308822480656,BERT,0.9533477590719261,0.9550855493712638,0.953028761061109,0.9546379571073397
5,8,0.8661308822480656,BERT,0.9560334604648316,0.9573520923520922,0.9556081005119547,0.9572620597535713
5,8,0.8661308822480656,BERT,0.9541476462252485,0.9555370026798599,0.954428743864149,0.9548926130167695
5,16,0.847568666893828,fasttext,0.9373759606139686,0.9378385899814472,0.9405235046609768,0.9374112079769
5,16,0.847568666893828,fasttext,0.9359221590165655,0.9373881673881673,0.938619075567434,0.9367927402146359
5,16,0.847568666893828,fasttext,0.9386128889781299,0.9396588332302617,0.9413176973927253,0.9387955216520936
5,4,0.7846911103173586,tfidf,0.922560547670878,0.9228633271490414,0.9243181147388633,0.9227848168189535
5,4,0.7846911103173586,tfidf,0.9048589343896645,0.9070026798598227,0.9072074866002533,0.910264520787827
5,4,0.7846911103173586,tfidf,0.9352804696020615,0.9355668934240363,0.9361156608793235,0.9356845029396188
5,2,0.7934909515734891,word2vec,0.8962644905670538,0.8988218923933211,0.8980796124704471,0.8969873099894909
5,2,0.7934909515734891,word2vec,0.9088496068898475,0.9101638837353123,0.9119314337843779,0.910197256031538
5,2,0.7934909515734891,word2vec,0.894935047595737,0.8960946196660483,0.8968680983073233,0.8986875031922226
