density_threshold,distance_threshold,umap_n_components,NMI,embedding,f1_score,accuracy,precision,recall
0.1345296388617595,0.971802802469759,4,0.7355079866899495,BERT,0.9256832265437127,0.9260368996083281,0.9290433561710933,0.9296592415986906
0.1259781731026603,0.9725922457786348,4,0.7355079866899495,BERT,0.9185109289102845,0.9192290249433107,0.9224881648825949,0.9227198287812026
0.1125784532146262,0.9997594566169784,4,0.7355079866899495,BERT,0.9498961820711399,0.9514533085961657,0.9494733958859289,0.9519992815219365
0.2268404929092429,0.9996159014780504,4,0.726679140172162,fasttext,0.9410011257758724,0.9428293135435991,0.9419896823383821,0.9420395736875344
0.1974157823350446,0.9714798302006654,4,0.726679140172162,fasttext,0.9306451217492089,0.9310327767470625,0.9338054301245595,0.9313364032024392
0.2009440465903618,0.976418284398403,4,0.726679140172162,fasttext,0.8714408646811791,0.8675015460729746,0.8950061573424557,0.8752984730461826
0.5856152150061329,0.9290855592922548,16,0.6431698210143828,tfidf,0.8859934817325785,0.8852174809317667,0.8888243138804863,0.8889808359392799
0.5879090895315192,0.9140072135973388,16,0.6431698210143828,tfidf,0.9202866687865885,0.9219583591012162,0.9211012607700869,0.9212108517264888
0.4873261094396444,0.915797454516081,16,0.6431698210143828,tfidf,0.893005927388353,0.8961069882498454,0.89816991299917,0.8930150016913535
0.2942920314527073,0.998961563392969,4,0.7323242345351377,word2vec,0.8821136217075424,0.8961234796949082,0.8765777772438618,0.8945706935512314
0.2373491530277876,0.999956346286613,4,0.7323242345351377,word2vec,0.9209268192984794,0.922418058132344,0.9255529964592751,0.9207955845813064
0.2423970055015517,0.9982886520396016,4,0.7323242345351377,word2vec,0.8807497792107517,0.8833931148216863,0.8829147805543223,0.8878587711104886
